date,open,high,low,close,volume
2014-01-02,72.5804,72.8339,71.8652,72.2998,1965869
2014-01-03,72.6166,73.6668,72.4265,73.0874,1948060
2014-01-06,72.9788,73.3047,71.8743,72.2545,1535046
2014-01-07,72.4084,73.35,72.3269,73.1327,1376249
2014-01-08,72.6981,73.0965,72.345,72.7434,1870092
2014-01-09,75.1425,75.1425,72.9063,72.9969,1444744
2014-01-10,73.3862,73.4314,72.3903,72.7434,1474254
2014-01-13,72.68,72.7253,71.3763,71.5665,2087483
2014-01-14,71.8018,72.4537,71.4669,72.3813,1607089
2014-01-15,72.4265,73.0059,72.164,72.508,2025134
2014-01-16,72.4627,72.6619,72.1642,72.2545,1050168
2014-01-17,71.992,72.7343,71.9195,72.3994,2741113
2014-01-21,72.8068,73.149,72.2545,72.7162,1448118
2014-01-22,72.7977,73.0784,72.4627,72.7705,1304400
2014-01-23,74.1738,74.6898,71.3944,71.8018,1433790
2014-01-24,71.3492,71.3582,69.6743,69.6834,2143043
2014-01-27,69.1221,70.1904,69.1221,69.2579,1735114
2014-01-28,69.1492,69.8916,68.9932,69.7377,1559160
2014-01-29,69.2035,69.9277,68.9682,69.285,1638378
2014-01-30,69.6653,70.29,69.1221,69.9821,1398235
2014-01-31,68.8052,69.8373,68.7509,69.3484,1861612
2014-02-03,69.3574,69.5114,66.8044,67.067,3181252
2014-02-04,70.5434,70.5434,65.1024,67.8546,3906522
2014-02-05,69.0949,69.0949,65.8085,66.569,2865055
2014-02-06,66.4966,67.2978,66.1797,67.1756,2357363
2014-02-07,67.3567,67.8637,66.9493,67.8003,1696106
2014-02-10,68.3344,68.4521,66.8406,67.4019,2007864
2014-02-11,67.1032,67.8093,67.0036,67.5921,2522108
2014-02-12,68.4159,68.7147,67.7189,68.425,4027640
2014-02-13,68.1262,69.0587,68.0809,68.9953,2027465
2014-02-14,68.5789,69.2487,68.1715,69.0496,1710591
2014-02-18,69.2126,69.3212,68.5879,69.2488,1792625
2014-02-19,68.8414,69.6743,68.7237,68.941,1605411
2014-02-20,69.0225,69.6109,68.6785,69.2669,1245236
2014-02-21,69.5114,69.7015,68.9138,68.9863,1955623
2014-02-24,69.0859,70.1451,68.9863,69.5295,1727192
2014-02-25,69.6924,69.9188,69.0588,69.7196,1560856
2014-02-26,70.1179,70.1813,69.5385,70.0908,2294405
2014-02-27,69.8192,70.5253,69.8011,70.3624,2008915
2014-02-28,70.5072,71.0414,69.8916,70.4167,2351364
2014-03-03,69.7558,69.8871,69.104,69.4118,1752666
2014-03-04,70.3443,71.0866,70.2175,71.0233,2584785
2014-03-05,70.6159,70.7824,70.1451,70.3624,1663632
2014-03-06,70.5072,70.8241,70.2899,70.643,1342603
2014-03-07,71.0233,71.4542,70.7426,71.1228,1606991
2014-03-10,71.15,71.2677,70.4075,70.806,1696567
2014-03-11,70.9237,71.0323,70.2628,70.5253,1365947
2014-03-12,70.3887,70.8425,70.1427,70.7713,1671425
2014-03-13,70.8533,71.0173,69.8604,70.1336,2768729
2014-03-14,70.6347,70.8806,69.9697,70.6438,2310891
2014-03-17,70.9808,71.5092,70.7895,71.5001,2588926
2014-03-18,71.3907,72.0011,71.3088,71.9555,1759882
2014-03-19,72.0375,72.0375,70.8715,71.3179,1384832
2014-03-20,70.9171,71.5274,70.744,71.3634,1180038
2014-03-21,72.2652,72.3199,70.5982,70.826,4637467
2014-03-24,70.9262,71.0537,69.3776,69.6417,1960488
2014-03-25,69.8604,70.4528,69.496,69.8512,1600653
2014-03-26,70.2338,70.3705,69.414,69.414,1415252
2014-03-27,69.2773,69.8877,68.8219,69.8421,2164668
2014-03-28,70.1519,70.7531,69.751,70.0972,1322152
2014-03-31,70.2703,70.7075,69.9423,70.3796,1451642
2014-04-01,70.1883,70.6255,69.8148,70.5982,1767189
2014-04-02,70.5162,70.9535,70.3796,70.7531,1666949
2014-04-03,71.0355,71.0537,70.161,70.4798,1186584
2014-04-04,70.8442,70.8533,69.0223,69.0678,2023253
2014-04-07,69.2045,69.4049,68.3391,68.5668,1711915
2014-04-08,68.7399,69.1771,68.4648,68.831,1664666
2014-04-09,68.749,69.1954,68.3755,69.1225,1587637
2014-04-10,71.1266,71.1676,68.5213,68.5213,3725432
2014-04-11,68.0202,68.5848,67.1275,67.164,2730515
2014-04-14,67.7834,67.9292,66.8451,67.6285,1980559
2014-04-15,67.6832,68.4393,67.2277,68.3937,2109087
2014-04-16,68.9585,68.9585,68.0385,68.7126,1927514
2014-04-17,68.5395,69.6417,68.503,69.5142,2039426
2014-04-21,69.0223,69.6326,69.0223,69.2865,926149
2014-04-22,69.3502,69.7875,69.0132,69.5324,1189729
2014-04-23,69.1043,69.7237,69.1043,69.496,1389511
2014-04-24,69.997,70.161,69.5233,69.7966,1531964
2014-04-25,69.4504,69.8512,68.7763,68.9221,1437750
2014-04-28,69.2682,69.7146,68.3117,68.9403,2119091
2014-04-29,69.3776,70.2612,69.25,70.1336,1889768
2014-04-30,69.2773,71.3725,69.2682,71.0173,2138172
2014-05-01,71.0264,71.2996,70.4798,70.7075,1289665
2014-05-02,70.7804,71.2359,70.416,70.6347,1759994
2014-05-05,70.3978,71.0081,69.915,70.9353,1219932
2014-05-06,70.5436,70.6893,70.1154,70.1974,1689270
2014-05-07,70.3705,70.6164,69.6508,70.5618,2112680
2014-05-08,70.4343,71.2086,70.2703,70.9171,1837554
2014-05-09,70.7075,71.2905,70.6073,71.1175,1352420
2014-05-12,71.0446,72.0739,71.0446,71.8644,1319353
2014-05-13,71.8735,72.0739,71.5957,71.8918,1243182
2014-05-14,71.9829,72.0557,71.0027,71.1357,1004824
2014-05-15,70.9171,71.0537,69.6599,69.915,2112931
2014-05-16,70.0608,70.9079,69.6417,70.8806,1829827
2014-05-19,70.6164,71.163,70.4707,71.0992,1121570
2014-05-20,71.1903,71.1903,70.4821,70.6529,1650950
2014-05-21,71.1175,71.1175,70.5253,70.7986,1300842
2014-05-22,70.9535,71.3088,70.6164,71.1266,994018
2014-05-23,71.3452,71.8553,71.1812,71.828,968451
2014-05-27,71.9737,72.2379,71.8371,72.2379,1172416
2014-05-28,72.6205,72.6843,71.7916,71.8462,1252142
2014-05-29,72.1286,72.4839,71.8735,72.4748,1062810
2014-05-30,72.6478,72.7663,72.3017,72.5841,2221524
2014-06-02,72.5567,72.8027,72.1013,72.3108,980440
2014-06-03,71.8918,72.3108,71.5456,71.7005,2296590
2014-06-04,71.3543,71.8189,71.1311,71.8098,2334556
2014-06-05,71.7733,71.8189,71.0719,71.6914,1515173
2014-06-06,72.1195,72.5759,71.7824,72.5203,1412444
2014-06-09,72.493,72.9894,72.4474,72.8756,1281913
2014-06-10,72.6205,73.2126,72.3017,72.329,1980233
2014-06-11,72.0357,72.3657,71.5775,71.9807,1604428
2014-06-12,71.5591,72.0632,71.44,71.7149,1169398
2014-06-13,71.9807,72.4619,71.7149,72.2282,1083133
2014-06-16,71.9166,72.5215,71.8982,72.0815,1027306
2014-06-17,71.9257,72.2373,71.6783,71.6875,1954364
2014-06-18,71.6875,72.1274,71.4125,72.0449,2240077
2014-06-19,72.2923,72.329,71.8066,71.9074,1646681
2014-06-20,72.274,73.0072,71.9441,72.8147,3498457
2014-06-23,72.7322,72.943,72.274,72.6039,921176
2014-06-24,72.5398,72.9754,72.2648,72.4573,1044404
2014-06-25,72.1824,72.8056,72.0449,72.6314,1038088
2014-06-26,72.6589,72.6589,72.0632,72.5031,878109
2014-06-27,72.4573,72.9101,72.2695,72.8422,1364310
2014-06-30,72.5215,72.8514,72.2373,72.6589,1119752
2014-07-01,72.9705,73.832,72.5856,73.6579,1643478
2014-07-02,73.328,73.6396,72.9614,73.5204,1396946
2014-07-03,73.3188,73.8778,73.3188,73.8595,775450
2014-07-07,73.4838,73.7954,73.4104,73.722,1102109
2014-07-08,73.6487,74.052,73.4288,73.7495,1513432
2014-07-09,73.9328,73.9787,73.4929,73.7495,943479
2014-07-10,74.052,74.052,73.108,73.4517,953225
2014-07-11,73.5662,73.5937,72.9705,73.4379,1069216
2014-07-14,73.6762,73.777,73.4654,73.6304,801574
2014-07-15,73.6396,73.9695,73.218,73.6304,930275
2014-07-16,73.9145,73.942,73.6121,73.777,984821
2014-07-17,73.3555,73.8045,73.1905,73.2821,1066578
2014-07-18,73.7129,74.3773,73.3371,74.2628,1390601
2014-07-21,73.8595,74.2994,73.6946,74.2169,1002535
2014-07-22,74.3819,74.9547,74.2582,74.8585,833304
2014-07-23,74.7485,75.0418,74.5011,74.996,1043717
2014-07-24,74.7852,75.6192,74.776,75.5459,1267638
