date,open,high,low,close,volume
2014-01-02,102.9308,102.9308,101.4205,101.7468,665048
2014-01-03,101.924,102.6791,101.8495,101.9612,419876
2014-01-06,102.502,102.9681,101.6909,102.0358,510658
2014-01-07,102.8096,103.9003,102.8096,103.5088,1214211
2014-01-08,103.0333,103.919,102.5299,103.5554,1162103
2014-01-09,103.9003,104.786,103.5834,104.5529,650074
2014-01-10,104.5529,105.075,103.8351,104.9165,932513
2014-01-13,104.4411,104.9165,103.2757,103.5368,650583
2014-01-14,104.0775,104.1427,103.1266,104.1334,817660
2014-01-15,104.3105,104.3665,103.7325,104.2453,726866
2014-01-16,104.1241,104.7767,103.9843,104.4038,665102
2014-01-17,103.8724,104.4597,103.602,103.7698,960549
2014-01-21,104.5902,104.8979,103.5647,103.9003,813230
2014-01-22,104.3012,104.511,103.5554,104.0029,611516
2014-01-23,103.8444,103.8444,102.4926,102.9215,771738
2014-01-24,101.4765,102.5672,100.4417,100.451,1072187
2014-01-27,100.9171,101.001,99.4274,99.6586,989830
2014-01-28,99.7704,101.0103,99.6679,100.8798,709215
2014-01-29,100.2086,101.1222,99.9662,100.4417,869504
2014-01-30,101.029,101.2993,100.3484,100.6654,1070557
2014-01-31,99.6492,101.1502,99.1272,100.7959,1474984
2014-02-03,100.9824,101.1166,98.083,98.2602,1911718
2014-02-04,100.0221,101.0103,98.4187,98.8288,1426444
2014-02-05,99.0526,100.2832,98.717,99.9848,1416850
2014-02-06,100.0594,100.451,99.6213,99.9103,1081016
2014-02-07,100.3018,102.6977,100.2179,102.6604,1327390
2014-02-10,102.3714,103.5647,102.157,103.4249,1393895
2014-02-11,103.024,105.3453,102.996,105.336,1398568
2014-02-12,105.1962,105.6856,104.8606,105.6343,1251682
2014-02-13,105.1682,106.6319,104.814,106.5946,964324
2014-02-14,106.2776,106.7344,105.9793,106.6505,725159
2014-02-18,106.7437,107.6946,106.3988,107.5548,1074374
2014-02-19,107.2658,108.0582,106.1751,106.2683,944553
2014-02-20,106.548,107.9836,106.2776,107.6946,1074422
2014-02-21,107.8438,108.0023,107.098,107.1912,628485
2014-02-24,107.2472,108.0955,107.2005,107.2099,825247
2014-02-25,107.1912,107.7972,106.2683,106.7717,881395
2014-02-26,106.7064,107.7879,106.4641,107.1073,932082
2014-02-27,107.2099,107.5175,106.7437,107.3031,763841
2014-02-28,107.2751,108.4785,106.7064,107.415,1023064
2014-03-03,106.9115,108.4591,106.4174,107.1539,971373
2014-03-04,108.3752,108.9345,108.1142,108.7947,1160734
2014-03-05,108.7947,108.7947,107.5455,108.4032,740213
2014-03-06,108.8574,108.9886,107.8084,107.8646,791933
2014-03-07,108.4921,108.4921,107.6679,108.2486,894424
2014-03-10,108.0613,108.6514,107.8833,108.2861,672198
2014-03-11,108.2954,108.2954,107.7709,108.0332,909447
2014-03-12,107.6211,108.2018,107.2651,108.1549,678277
2014-03-13,108.4078,108.6326,107.6023,107.8927,1021297
2014-03-14,107.7147,108.7731,107.5649,108.0425,1011127
2014-03-17,108.2299,108.8855,108.1549,108.2954,605038
