date,open,high,low,close,volume
2014-01-02,284.5098,284.5098,280.0803,282.1823,396548
2014-01-03,281.4155,285.0601,280.0353,283.4182,442877
2014-01-06,285.3217,286.5576,281.8034,283.328,504766
2014-01-07,283.3731,288.3438,283.3731,285.9351,422686
2014-01-08,286.5846,288.0822,284.2121,285.8449,689080
2014-01-09,286.2599,287.7033,283.2739,285.1413,472598
2014-01-10,284.8345,287.7754,280.8923,284.1128,517462
2014-01-13,282.8228,284.8706,275.9397,276.4719,789539
2014-01-14,277.8522,280.7479,276.3817,280.1255,608350
2014-01-15,280.9464,282.7506,278.8264,282.1372,1043844
2014-01-16,292.5657,294.0903,282.7958,286.6749,1525973
2014-01-17,288.5422,291.014,284.6361,285.7186,1024248
2014-01-21,287.595,288.9482,285.9712,287.568,669229
2014-01-22,288.6685,292.9536,287.5228,292.1868,1001389
2014-01-23,289.1557,290.7163,284.4647,284.6812,1136547
2014-01-24,283.0123,283.0123,273.2514,273.4408,1049069
2014-01-27,276.5982,277.5184,269.9135,270.5901,1133725
2014-01-28,271.5373,274.4241,270.3916,273.964,1063748
2014-01-29,272.2951,273.301,269.0475,269.9225,747198
2014-01-30,271.9252,277.0493,271.9252,275.5427,689184
2014-01-31,271.5373,275.0827,267.0267,271.0592,920119
2014-02-03,267.974,269.4985,256.905,258.3574,1583668
2014-02-04,258.7002,263.9235,258.2584,261.3885,918288
2014-02-05,262.3808,265.5653,258.0417,260.9555,917924
2014-02-06,262.7958,266.702,261.9749,266.0073,858432
2014-02-07,267.9289,270.6352,266.2148,270.5179,866353
2014-02-10,268.6686,272.4755,267.6943,271.5644,734702
2014-02-11,271.5373,276.499,270.6442,275.2811,763835
2014-02-12,274.9744,277.3917,272.6018,273.8016,659729
2014-02-13,269.7241,275.8314,267.144,274.7308,550482
2014-02-14,274.6767,276.5802,273.098,273.3686,667845
2014-02-18,273.6212,276.7335,273.3416,276.0118,513813
2014-02-19,273.5851,277.798,270.7525,271.0772,592452
2014-02-20,270.987,272.3943,268.3799,271.1043,606447
2014-02-21,271.1765,272.7011,269.5527,269.7331,567597
2014-02-24,269.688,274.7398,269.679,272.9717,635118
2014-02-25,272.5387,274.0633,270.2293,270.8156,716139
2014-02-26,270.8968,271.952,266.9149,268.4972,681132
2014-02-27,268.5874,276.6162,268.5423,275.8765,792483
2014-02-28,275.8404,278.6604,273.7024,275.0015,887544
2014-03-03,271.3208,272.0831,268.6506,270.951,683430
2014-03-04,274.4692,278.6099,274.2527,277.1485,732920
2014-03-05,277.557,279.5179,276.8852,278.7735,540413
2014-03-06,280.3349,283.4306,278.955,282.432,737436
2014-03-07,285.2735,285.2735,280.9613,282.1415,760316
2014-03-10,282.0325,282.323,278.3649,280.0353,809783
2014-03-11,280.6436,282.2967,279.2546,280.3258,845760
2014-03-12,277.8566,280.4257,276.4585,280.4075,555098
2014-03-13,281.8237,282.5591,271.1387,271.6652,1027773
2014-03-14,271.2295,273.3356,268.4515,268.4515,718144
2014-03-17,270.5486,274.2616,270.1855,271.175,746396
2014-03-18,272.4459,273.9348,271.5835,273.3265,412888
2014-03-19,273.5444,273.7986,268.6694,270.8936,668361
2014-03-20,269.6045,274.6156,269.323,273.2448,645977
2014-03-21,274.779,276.1588,271.52,274.0346,1333134
2014-03-24,273.9892,275.9047,271.0842,274.6883,882902
2014-03-25,276.286,279.4452,273.7623,279.2455,907692
2014-03-26,282.8586,284.4746,279.9173,280.7434,963088
2014-03-27,280.9704,282.0958,277.3845,278.2469,666793
2014-03-28,280.8796,284.9829,279.9809,282.2323,701469
2014-03-31,285.4732,286.6079,283.9571,285.4913,652131
2014-04-01,286.9802,287.9152,283.9753,287.6792,758270
2014-04-02,287.7881,291.8279,286.3631,289.1862,586387
2014-04-03,290.1484,290.1484,284.5563,285.6366,554549
2014-04-04,290.094,290.5207,279.8265,280.4438,876151
2014-04-07,281.1701,281.9054,275.2148,275.8775,835413
2014-04-08,275.587,276.9669,272.3824,274.5249,831204
2014-04-09,275.4962,280.3803,274.7963,279.8992,569936
2014-04-10,280.6073,280.6345,268.6694,268.6694,875622
2014-04-11,268.4879,270.1492,265.2606,266.6359,929630
2014-04-14,270.7211,271.4289,267.7162,270.9571,729448
2014-04-15,272.2281,273.9348,267.807,272.9906,633521
2014-04-16,273.9348,282.0144,273.9348,281.5605,1089854
2014-04-17,284.1024,284.3384,273.027,279.9536,1011658
2014-04-21,279.7267,279.8992,277.0577,277.6841,651395
2014-04-22,278.02,281.6603,276.9033,279.8538,581917
2014-04-23,279.6177,281.3607,277.7204,279.2455,485069
2014-04-24,277.4117,279.2364,274.8789,275.6324,545078
2014-04-25,275.0605,275.6049,271.6017,272.7546,394077
2014-04-28,274.1799,275.6324,268.1429,270.9844,807597
2014-04-29,273.6897,274.6883,272.1736,272.8,492281
2014-04-30,271.5563,274.2888,270.5304,273.2539,423030
2014-05-01,272.3279,274.8607,270.5395,273.2993,589223
2014-05-02,273.0723,276.2043,271.2204,271.4383,605304
2014-05-05,270.7574,271.9376,268.0612,270.9844,509551
2014-05-06,270.7483,271.6743,268.8237,268.9962,591400
2014-05-07,269.432,271.9376,267.9068,271.4383,611741
2014-05-08,270.8936,274.9515,270.8936,272.6911,581905
2014-05-09,272.564,274.77,271.0933,274.4704,524526
2014-05-12,270.0039,278.2469,270.0039,276.5039,694161
2014-05-13,276.8761,279.0276,274.2254,275.0332,595034
2014-05-14,275.2148,276.0318,273.4082,273.9802,474865
2014-05-15,273.4536,273.9345,267.945,269.6408,662563
2014-05-16,273.0723,273.0723,267.502,270.1038,544568
2014-05-19,269.786,272.0465,268.8964,271.4383,402103
2014-05-20,271.4383,272.5277,267.807,269.1052,437423
2014-05-21,269.9948,273.2539,269.9948,272.2553,450208
2014-05-22,271.5563,273.9348,270.5579,272.8635,410575
2014-05-23,272.7365,273.4446,271.638,272.9725,358067
2014-05-27,275.2239,277.7022,274.08,276.5493,464007
2014-05-28,276.6764,277.616,273.4899,273.6806,622979
2014-05-29,274.9152,277.094,274.1163,276.7218,406355
2014-05-30,276.2316,277.7794,275.3601,276.7944,365007
2014-06-02,276.8489,278.374,274.4613,277.8202,404188
2014-06-03,276.7672,281.733,276.2134,280.1624,719332
2014-06-04,279.073,282.4229,278.1834,282.1052,558212
2014-06-05,282.7721,283.9596,279.9494,283.1192,566360
2014-06-06,284.7726,287.3578,283.7221,286.8006,457135
2014-06-09,285.8871,288.4357,285.5034,287.3578,401526
2014-06-10,286.9741,288.4357,285.1289,287.4766,392742
2014-06-11,285.7683,286.8188,283.0096,284.4529,408178
2014-06-12,284.5899,284.8786,280.6619,282.1052,519902
2014-06-13,282.8543,284.0966,281.4384,282.6807,340739
2014-06-16,281.7672,283.174,279.995,282.6168,471747
2014-06-17,281.073,285.1837,279.383,285.0558,453195
2014-06-18,285.2385,292.9393,283.5942,292.1811,935165
2014-06-19,292.3912,293.3595,288.9199,291.2219,700855
2014-06-20,291.9344,292.8022,289.3584,290.5368,670133
2014-06-23,289.7238,291.3406,288.8559,290.418,466699
2014-06-24,289.5685,292.3089,287.8968,288.9016,584204
2014-06-25,288.1069,291.1123,286.8919,289.5776,514605
2014-06-26,289.806,290.3175,285.5034,287.9516,605317
2014-06-27,287.7506,290.1896,286.6636,289.6598,521298
2014-06-30,289.6781,292.9027,289.1209,291.9527,503475
2014-07-01,293.871,296.7531,292.6378,294.4922,494555
2014-07-02,294.7845,294.9672,292.1902,294.0263,540052
2014-07-03,293.2224,296.4242,292.857,295.6067,276463
2014-07-07,293.4691,294.8393,292.4277,293.396,387207
2014-07-08,293.2498,293.396,290.1896,290.7743,451764
2014-07-09,292.7748,293.871,291.3315,293.195,345470
2014-07-10,289.1026,290.3449,286.86,288.5728,538882
2014-07-11,288.7555,291.1214,287.2939,290.3175,614799
2014-07-14,291.6147,295.7985,291.4503,295.2961,650669
2014-07-15,295.0677,297.9817,294.346,295.7346,1063743
2014-07-16,298.7491,303.1887,294.6384,297.0408,883332
2014-07-17,295.0494,297.7031,289.8608,290.2993,761671
2014-07-18,290.5916,293.8893,290.1805,293.1037,672774
2014-07-21,290.555,292.8296,289.9978,291.0575,558141
2014-07-22,291.5416,293.5878,291.0757,291.4594,520437
2014-07-23,292.2085,292.3181,289.1209,289.1665,688851
2014-07-24,290.7469,291.5599,289.066,289.9065,395572
2014-07-25,288.3627,289.3584,286.49,287.6684,508276
2014-07-28,287.6593,290.1074,286.152,289.0569,558941
2014-07-29,289.7146,291.633,287.1934,287.3304,454538
2014-07-30,288.8194,289.7146,285.5856,287.5862,504026
2014-07-31,284.7818,285.001,278.369,278.369,843511
2014-08-01,274.6876,281.4292,274.0482,277.1998,770067
2014-08-04,279.9768,279.9768,277.049,278.9537,881304
2014-08-05,277.8209,279.2003,274.3862,275.053,757871
2014-08-06,273.8564,279.5109,273.4453,277.7204,668903
2014-08-07,279.0816,281.1186,275.4367,276.7613,431505
2014-08-08,278.1041,281.4566,276.4324,281.1735,395768
2014-08-11,282.4523,283.8957,281.4658,281.7581,355658
2014-08-12,281.073,284.4438,280.9999,283.987,554143
2014-08-13,285.8597,287.0655,284.7361,285.9236,383619
2014-08-14,286.2159,287.6319,285.8323,287.4948,334284
2014-08-15,289.0843,289.7146,285.2385,287.8511,588440
2014-08-18,289.6507,292.1902,289.0204,292.0714,465223
2014-08-19,291.8796,294.008,291.231,293.734,708865
2014-08-20,293.6061,296.849,292.1354,296.6298,527421
2014-08-21,296.3831,298.1644,295.022,298.064,515956
2014-08-22,296.9769,299.3429,296.2415,297.799,457489
2014-08-25,299.288,304.632,299.1419,304.157,706757
2014-08-26,305.2075,308.1033,304.3305,307.3633,697004
2014-08-27,307.4364,308.4413,303.2983,304.6959,553616
2014-08-28,303.8046,304.4753,301.4433,302.1416,555235
2014-08-29,303.2074,303.9516,301.8935,303.6943,492534
2014-09-02,305.4217,305.6468,300.4693,302.1232,772528
2014-09-03,304.6591,305.7157,302.9869,304.3191,446236
2014-09-04,306.0098,307.7555,303.97,304.7969,441193
2014-09-05,304.1262,305.7433,301.5811,305.7249,395056
2014-09-08,305.0082,307.112,303.7954,305.4217,334067
2014-09-09,304.5029,305.1369,301.2319,301.774,373135
2014-09-10,303.1706,304.4386,302.3621,303.0787,468829
2014-09-11,301.1676,302.748,300.2764,301.8384,504958
2014-09-12,301.7005,303.0879,300.4693,302.3529,377028
2014-09-15,301.3698,302.1967,299.67,300.405,380922
2014-09-16,299.7986,302.3804,297.1157,301.526,589417
2014-09-17,301.82,304.9164,300.4509,302.9685,534692
2014-09-18,304.0527,307.0664,303.3268,306.5243,482327
2014-09-19,308.564,308.7202,303.5933,304.8153,804038
2014-09-22,304.1262,304.1262,299.67,301.0114,395089
2014-09-23,299.7618,301.8843,297.961,298.6685,422971
2014-09-24,299.0911,302.6745,298.6133,302.2886,399390
