date,open,high,low,close,volume
2014-01-02,65.5435,66.2076,65.0054,65.5435,2070876
2014-01-03,65.678,66.8802,65.4174,66.586,1343255
2014-01-06,66.4178,67.2375,65.905,65.9134,1961240
2014-01-07,66.0395,66.4851,64.9802,65.4258,1598073
2014-01-08,64.585,65.6107,64.3917,64.7868,2578352
2014-01-09,65.0222,65.4089,64.6704,64.8204,1577661
2014-01-10,64.9045,65.1399,63.8116,64.3076,1730623
2014-01-13,64.2235,64.2403,62.0881,62.231,2558255
2014-01-14,62.6934,63.4332,62.3739,63.2987,1706029
2014-01-15,63.3744,64.4841,63.2399,63.6939,3598294
2014-01-16,63.3239,63.8116,63.1558,63.4753,1246662
2014-01-17,63.2735,63.7443,63.0969,63.4669,1690392
2014-01-21,63.6854,63.9797,63.5341,63.6686,1223490
2014-01-22,63.6854,64.2151,63.6266,63.7695,1145887
2014-01-23,63.366,63.6602,63.2146,63.4837,2061628
2014-01-24,63.0633,63.3113,62.3823,62.5673,2516014
2014-01-27,62.5757,63.0969,61.281,61.3146,3849840
2014-01-28,61.5248,61.7181,61.1885,61.5416,4171332
2014-01-29,61.1296,61.7265,60.6252,60.8186,2589567
2014-01-30,61.4827,62.8868,61.064,62.4832,4651726
2014-01-31,61.7938,63.3492,61.5668,62.8531,4281122
2014-02-03,62.6177,63.2315,61.3566,61.5248,2735443
2014-02-04,59.4397,62.3823,59.2884,61.8863,2457009
2014-02-05,62.2562,62.3487,60.869,61.84,2180938
2014-02-06,62.1974,64.0133,61.8274,63.8788,1902349
2014-02-07,64.4925,65.5771,63.5341,63.635,1863136
2014-02-10,63.6014,64.1647,63.0759,63.5257,1259445
2014-02-11,63.593,64.7784,63.4753,64.358,1258534
2014-02-12,64.3833,64.8793,64.2037,64.5682,735883
2014-02-13,64.2571,64.8793,63.9209,64.728,884456
2014-02-14,64.5346,65.1735,64.4825,64.8288,919681
2014-02-18,64.8541,65.0811,64.0049,64.0806,1776290
2014-02-19,63.7191,64.4757,62.8195,62.8615,1943075
2014-02-20,62.7859,63.1053,61.8274,62.0124,1694443
2014-02-21,62.1301,62.9036,61.8527,61.9704,1789141
2014-02-24,62.1385,63.0044,61.9619,62.4832,2772202
2014-02-25,62.3571,62.9792,61.4575,61.592,1421160
2014-02-26,61.6341,61.8527,60.415,61.0203,2313970
2014-02-27,60.8774,61.5752,60.6168,61.5079,1942290
2014-02-28,61.5332,62.1889,61.2978,62.0628,1654487
2014-03-03,61.5248,62.3739,61.1801,62.3066,1796080
2014-03-04,63.1894,64.0889,63.139,63.8956,2027586
2014-03-05,63.7023,64.7111,63.6518,64.2487,2588026
2014-03-06,64.4856,65.2977,64.198,64.9339,1849890
2014-03-07,65.0016,65.5938,64.824,65.1116,1961858
2014-03-10,65.1793,65.3484,64.5871,64.9086,1066949
2014-03-11,64.8409,65.2977,64.0119,64.2149,1332745
2014-03-12,64.0288,64.3333,63.4451,64.3333,1299638
2014-03-13,64.5617,64.5617,63.2167,63.259,2200798
2014-03-14,63.4958,64.2149,62.9883,63.7496,1506258
2014-03-17,64.1557,64.6886,64.1557,64.511,988280
2014-03-18,64.3925,64.5956,63.5635,64.2149,1674754
2014-03-19,64.088,64.236,63.3605,64.0457,2445165
2014-03-20,63.8934,65.1962,63.7496,65.0693,2521282
2014-03-21,65.7714,65.7714,65.137,65.5176,2997491
2014-03-24,65.7037,65.7037,64.9678,65.1708,1526598
2014-03-25,65.4499,65.4838,64.5659,64.7478,1640227
2014-03-26,65.0354,65.0354,63.4197,63.462,1769610
2014-03-27,63.3351,63.4417,61.9393,62.5315,2019101
2014-03-28,62.7514,63.3267,62.2439,62.4553,931021
2014-03-31,62.5061,63.2251,62.3877,62.6161,1411561
2014-04-01,62.9544,63.4451,61.1188,61.4656,3638288
2014-04-02,61.5248,62.0662,60.6958,61.1357,3379404
2014-04-03,61.0003,61.8886,60.8565,61.0596,1843756
2014-04-04,61.7701,61.8632,59.6722,59.723,2189781
2014-04-07,59.5199,59.6976,57.109,57.1767,5082888
2014-04-08,57.3544,58.6571,56.6861,58.4794,5285352
2014-04-09,57.5997,58.9701,57.5997,58.8178,2855748
2014-04-10,58.6317,59.4354,57.5405,57.8365,2683359
2014-04-11,57.3205,57.5997,56.4661,56.6353,2073768
2014-04-14,56.8637,57.4389,56.3562,56.8891,1426843
2014-04-15,57.1683,57.4728,56.2039,57.3459,1293001
2014-04-16,57.7012,58.2257,57.2444,58.1411,1191073
2014-04-17,58.1411,58.8855,58.0607,58.6233,1031094
2014-04-21,58.581,58.8834,58.2096,58.7332,779401
2014-04-22,58.7163,60.2728,58.4541,60.1798,1610927
2014-04-23,60.0275,60.6027,59.9768,60.3997,1290375
2014-04-24,60.8142,60.9073,59.6468,59.9768,1119250
2014-04-25,59.9091,60.0444,59.4692,59.5453,799155
2014-04-28,59.7399,60.0106,58.8601,59.8499,1201647
2014-04-29,59.8583,60.3913,59.5707,59.9175,1187132
2014-04-30,59.7653,59.9175,59.1224,59.5453,2189539
2014-05-01,59.9006,60.2644,57.1344,59.7906,2918415
2014-05-02,59.7822,60.0613,58.8094,58.8517,1662695
2014-05-05,58.5302,59.1393,57.9127,58.9997,1209631
2014-05-06,58.7079,58.9176,57.9381,57.9888,1543217
2014-05-07,58.2341,59.5707,57.8619,59.5199,1621840
2014-05-08,59.2239,59.723,58.4033,58.5133,1814366
2014-05-09,58.564,59.1477,58.3695,58.8686,1407160
2014-05-12,59.1308,60.0698,58.6402,59.9852,1314676
2014-05-13,59.926,60.0698,59.5538,59.7145,812708
2014-05-14,59.7061,59.8076,59.0208,59.0547,1120386
2014-05-15,59.0462,59.1647,58.5556,58.7755,1443796
2014-05-16,58.8094,58.8094,57.6843,58.0988,1053464
2014-05-19,58.0649,59.5707,57.8619,59.5115,1204264
2014-05-20,59.4946,59.5284,57.4389,57.9634,1689645
2014-05-21,58.3695,59.3,58.0819,59.2323,996411
2014-05-22,59.0801,60.3743,58.9955,60.349,1337765
2014-05-23,60.3067,60.3997,59.7483,60.0613,1039758
2014-05-27,60.3997,60.9327,60.1461,60.6281,1553010
2014-05-28,60.5097,61.0765,60.332,60.8481,1101746
2014-05-29,60.9242,61.3133,60.5266,61.2964,1003740
2014-05-30,61.2541,61.3049,60.755,60.9073,1671042
2014-06-02,60.958,61.1357,60.0698,60.865,1892519
2014-06-03,60.5604,60.9073,59.8499,60.0529,1539314
2014-06-04,59.7737,60.0317,59.1562,59.4354,1625051
2014-06-05,59.6891,59.7653,58.5048,58.8009,1660779
2014-06-06,59.0224,59.6015,59.0224,59.4652,1086039
2014-06-09,59.5504,60.5128,59.2949,60.1381,1620505
2014-06-10,59.593,59.7208,59.1033,59.6441,1327529
2014-06-11,59.5078,60.0827,59.3205,60.0103,1554299
2014-06-12,59.9422,60.615,59.7378,60.3766,1463233
2014-06-13,60.4617,61.1218,60.3255,60.8535,1514028
2014-06-16,60.862,60.9813,59.8741,60.3851,1552304
2014-06-17,60.2829,61.586,60.0274,61.4241,1672015
2014-06-18,61.373,61.7393,60.8365,61.5604,1305702
2014-06-19,61.4582,61.5562,60.2658,61.092,1398898
2014-06-20,61.4241,61.4327,60.7172,61.109,1775829
2014-06-23,61.0238,61.5604,60.8024,61.4838,794364
2014-06-24,61.2197,61.3219,60.0699,60.2744,1229010
2014-06-25,60.3936,60.8876,60.0699,60.1977,1074096
2014-06-26,60.0699,60.1722,59.4993,60.0444,785684
2014-06-27,59.8741,60.1636,59.6952,59.9763,1089939
2014-06-30,60.3425,61.0664,60.0955,60.4277,1542340
2014-07-01,60.4532,60.7343,60.2573,60.4617,1378603
2014-07-02,60.2744,60.6236,60.1381,60.5213,1090615
2014-07-03,60.7683,61.7137,60.6917,61.6285,765362
2014-07-07,61.5263,61.5604,61.0749,61.4412,931077
2014-07-08,61.3986,61.5093,60.2829,60.5128,1346311
2014-07-09,60.7087,61.0068,60.0018,60.9642,3081733
2014-07-10,60.1296,60.3084,59.6697,59.7293,1372568
2014-07-11,59.5675,60.1211,59.3971,60.0359,1406331
2014-07-14,60.7683,60.9131,60.3212,60.7087,823063
2014-07-15,60.7428,61.1204,60.4702,60.7087,813861
2014-07-16,60.7598,60.9641,60.1977,60.4873,843347
2014-07-17,60.0785,60.8578,60.0785,60.581,1303839
2014-07-18,60.862,62.131,60.5469,61.7137,1375922
2014-07-21,61.5008,62.5654,61.2214,62.4973,1603854
2014-07-22,62.5654,63.6726,62.5654,63.5108,1335305
2014-07-23,63.4852,63.9622,62.8294,63.7748,1834953
2014-07-24,63.7918,64.635,63.7007,64.1836,1687656
2014-07-25,63.9026,64.3795,63.4512,63.9196,1706706
2014-07-28,64.0048,64.2603,63.1531,63.9963,1176602
2014-07-29,63.9707,64.6435,63.843,64.3029,1419710
2014-07-30,64.6435,64.9161,64.0729,64.5839,1524894
2014-07-31,63.4512,64.2943,62.6846,62.9742,2199277
2014-08-01,62.7783,63.6045,62.4717,63.1786,1692112
2014-08-04,63.3064,63.366,62.7783,63.1701,1793393
2014-08-05,62.9402,63.1275,62.361,62.7272,1980121
2014-08-06,62.6421,63.4341,62.5484,62.6761,1524768
2014-08-07,63.0679,63.0679,62.1907,62.361,1617524
2014-08-08,62.5995,62.7017,62.097,62.4717,2550832
2014-08-11,62.7613,62.9614,62.4121,62.4888,1324983
2014-08-12,62.3866,62.625,62.131,62.3525,1712116
2014-08-13,61.5349,62.7698,61.5349,62.6335,1620262
2014-08-14,62.6335,62.8124,62.4802,62.6761,923459
2014-08-15,62.9827,62.9827,62.0799,62.4802,1307425
2014-08-18,62.9742,63.2979,62.757,62.8635,1088709
2014-08-19,63.0083,63.0083,62.3184,62.608,965107
2014-08-20,62.5228,63.2297,62.4888,63.1659,873974
2014-08-21,63.0935,63.6215,62.8976,63.5704,1066498
2014-08-22,63.4171,64.0388,63.2127,63.7578,958806
2014-08-25,64.1581,64.7202,63.8259,64.4306,983882
2014-08-26,64.1921,65.3164,64.1921,65.0353,1177615
2014-08-27,64.9502,65.1971,64.7202,65.1205,933795
2014-08-28,64.6776,65.3164,64.6691,65.2227,1042378
2014-08-29,65.4782,65.9381,65.1546,65.1971,1084900
2014-09-02,65.2227,65.6656,65.0694,65.3675,1255028
2014-09-03,65.606,65.7507,64.7287,65.1716,927711
2014-09-04,65.2993,65.5974,64.9416,65.2482,1169212
2014-09-05,65.1801,65.1971,64.601,65.112,1345831
2014-09-08,65.1463,65.3948,64.8121,65.0734,1019976
2014-09-09,65.0606,65.2577,64.6064,64.8549,895357
2014-09-10,65.0349,65.3691,64.5293,65.1377,1157227
2014-09-11,65.052,66.5003,65.052,66.4317,1514228
2014-09-12,66.4403,68.0085,66.4317,67.9828,2321640
2014-09-15,67.7,68.6941,67.5972,68.4027,1880935
2014-09-16,68.2485,68.9169,67.8543,68.4456,1435582
2014-09-17,68.3427,69.4311,68.0942,69.1483,1933159
2014-09-18,68.8483,71.6506,68.6512,71.0936,3067416
2014-09-19,71.6935,71.6935,70.3909,70.9907,2227167
2014-09-22,70.8451,71.2564,70.4252,70.7594,1520443
2014-09-23,70.7337,71.1279,69.5082,69.5253,1652430
2014-09-24,69.5253,69.9195,69.2425,69.6539,1185089
2014-09-25,69.3797,69.611,67.6829,67.8714,2158230
2014-09-26,68.3342,68.6941,67.4601,68.5827,1852511
2014-09-29,67.9571,68.4884,67.6315,68.1285,1544238
2014-09-30,68.1885,68.7626,68.0342,68.5184,1983151
2014-10-01,68.5227,68.5655,67.8971,68.0428,2005129
2014-10-02,68.3256,69.3625,68.2313,68.9169,2299663
2014-10-03,68.3513,69.7139,68.3513,69.3711,1683074
2014-10-06,69.6625,70.0567,69.3368,69.7139,1909842
2014-10-07,69.3625,69.6796,68.317,68.3427,1715457
2014-10-08,68.4884,69.5853,68.3085,69.5511,3011582
