date,open,high,low,close,volume
2014-01-02,73.8442,73.8708,72.538,72.7957,545102
2014-01-03,73.0178,73.5776,72.5292,73.1511,624887
2014-01-06,73.3822,73.8887,72.8668,72.9023,644876
2014-01-07,73.6487,74.093,73.0267,73.8709,854177
2014-01-08,73.782,73.8087,73.1689,73.6754,881906
2014-01-09,73.7376,74.1286,73.0711,73.6043,567455
2014-01-10,73.6754,74.1908,73.0622,74.1552,938591
2014-01-13,73.9064,74.1552,72.3602,72.538,814632
2014-01-14,72.9467,73.6399,72.4224,73.5243,622576
2014-01-15,73.5688,74.5285,73.0889,74.2619,935801
2014-01-16,74.2175,75.186,74.0042,75.1772,726259
2014-01-17,75.2394,75.2394,74.2708,74.7684,1359045
2014-01-21,74.7773,75.0261,74.2441,74.8573,856807
2014-01-22,75.2038,75.3637,74.4441,75.3105,877467
2014-01-23,74.6706,74.7906,74.1997,74.6884,674024
2014-01-24,74.022,74.2175,73.16,73.1689,856007
2014-01-27,73.4355,74.173,72.9912,73.6754,840523
2014-01-28,74.1108,74.3596,73.6843,73.942,1355991
2014-01-29,73.4266,73.631,72.0315,72.2625,696433
2014-01-30,72.8579,72.9912,72.2003,72.9378,805802
2014-01-31,72.0492,73.3733,71.9959,73.0889,823973
2014-02-03,72.8312,73.0445,68.868,69.0901,1524155
2014-02-04,68.7791,69.6944,67.9794,69.3123,1739117
2014-02-05,69.2767,69.6322,68.2904,69.3745,1058936
2014-02-06,69.7921,71.8804,69.5433,71.6227,1085552
2014-02-07,72.1114,72.6268,71.8004,72.5024,647538
2014-02-10,72.4313,72.9912,72.0848,72.7601,583583
2014-02-11,72.8668,73.9598,72.8312,73.6221,635815
2014-02-12,73.7909,74.5676,73.6843,74.484,706271
2014-02-13,73.8531,75.5682,73.8531,75.2127,931770
2014-02-14,75.266,76.4123,74.8662,76.3768,949781
2014-02-18,77.3098,79.9757,77.3098,77.6742,1923873
2014-02-19,77.6298,77.6298,76.5812,76.83,1141296
2014-02-20,76.6612,77.4609,76.2968,77.3543,663401
2014-02-21,77.4343,77.8697,76.9811,77.532,541972
2014-02-24,77.7097,78.2429,77.4076,77.4165,657848
2014-02-25,77.4698,77.6031,76.91,77.0521,852060
2014-02-26,77.0788,78.003,76.9899,77.4431,664097
2014-02-27,77.2565,77.4343,76.5101,77.1232,618721
2014-02-28,77.3543,78.4384,77.0967,78.2784,811396
2014-03-03,77.1321,77.5595,76.4123,77.2921,756051
2014-03-04,78.2784,78.4748,77.6742,78.1363,743257
2014-03-05,78.3733,78.8384,78.0423,78.3554,594448
2014-03-06,78.74,78.8223,77.8276,77.8992,523179
2014-03-07,78.1318,78.4985,77.8455,78.248,486365
2014-03-10,78.087,78.257,77.121,77.4162,595789
2014-03-11,77.604,77.9082,77.0674,77.3178,447738
2014-03-12,76.9779,77.6398,76.7007,77.6219,513850
2014-03-13,77.9171,78.0423,76.5128,76.5128,818773
2014-03-14,76.477,77.0191,76.3249,76.4144,865396
2014-03-17,76.9332,77.282,76.3249,76.7185,673207
2014-03-18,76.8616,77.0137,76.5038,76.7901,497160
2014-03-19,76.8974,77.1568,75.4573,75.9403,698425
2014-03-20,75.7435,76.2981,75.5468,76.1013,598372
2014-03-21,76.477,76.6022,75.663,75.7525,1192137
2014-03-24,75.9493,76.316,75.0628,75.3142,572560
2014-03-25,75.994,76.0745,75.2337,75.5468,683104
2014-03-26,75.7883,76.1013,75.1085,75.35,604690
2014-03-27,75.18,75.2762,74.697,75.0995,449809
2014-03-28,75.4663,76.3697,75.189,76.2355,463950
2014-03-31,76.6917,77.7203,76.3518,77.6845,739443
2014-04-01,77.613,77.7561,76.9242,77.6398,770779
2014-04-02,77.8187,78.257,77.3983,77.8187,883923
2014-04-03,78.4538,78.6684,77.9708,78.3643,690184
