date,open,high,low,close,volume
2014-01-02,91.4772,91.7402,90.7757,91.0563,1432910
2014-01-03,91.4684,92.0033,91.1527,91.5035,1344238
2014-01-06,91.8805,92.3453,91.2755,91.5122,1579463
2014-01-07,90.6354,91.9507,90.1531,91.179,1682953
2014-01-08,91.0913,91.1001,90.3679,90.5652,1853950
2014-01-09,90.7581,91.2843,90.5915,90.9598,1451270
2014-01-10,91.2404,91.9595,91.1089,91.9507,1682766
2014-01-13,91.5386,92.5821,91.3807,91.8367,1875810
2014-01-14,91.8455,92.6785,91.5736,92.4505,1971624
2014-01-15,92.4768,92.6785,91.8104,92.4067,1462895
2014-01-16,92.2313,93.0117,91.6613,92.9942,1294696
2014-01-17,93.3625,93.38,92.4593,92.4768,2745007
2014-01-21,92.8276,93.6957,92.3717,93.3274,1973213
2014-01-22,93.2573,93.665,92.8802,92.9591,1632580
2014-01-23,92.5294,93.1433,92.1875,92.4418,2283606
2014-01-24,94.8094,96.8262,93.608,94.178,3365295
2014-01-27,94.5551,94.8707,93.7045,94.2218,2011158
2014-01-28,94.2218,95.3793,94.0377,95.2741,1876241
2014-01-29,94.1955,94.5419,92.9942,93.836,2743706
2014-01-30,94.3446,95.3793,94.2481,95.0549,2297398
2014-01-31,94.0552,96.2475,93.4239,95.9055,3158457
2014-02-03,95.581,96.0721,92.3365,92.5031,2673826
2014-02-04,93.0731,93.3888,92.0121,92.5645,2491327
2014-02-05,92.2488,93.003,92.0384,92.5996,1763439
2014-02-06,93.0117,93.266,92.5645,93.2573,1717603
2014-02-07,93.4151,94.0465,93.38,93.7395,1555625
2014-02-10,93.7395,94.3885,93.3713,94.3621,1819146
2014-02-11,94.3621,95.5174,93.9588,95.2215,1707259
2014-02-12,95.2916,95.4214,93.9062,94.6691,1779014
2014-02-13,94.3885,95.4495,94.2043,95.3618,1442852
2014-02-14,95.3443,96.8437,94.9672,96.6684,1483623
2014-02-18,96.4491,96.5719,95.4319,96.2211,1552827
2014-02-19,95.9581,96.4579,95.2916,95.3881,1634038
2014-02-20,95.6862,97.0542,95.581,96.4316,1776607
2014-02-21,96.7561,97.5891,96.2475,96.3264,1646019
2014-02-24,96.7911,97.5452,96.4842,96.5982,1834114
2014-02-25,96.6947,97.1068,96.3527,96.4491,1328235
2014-02-26,96.6333,96.8964,95.1689,95.1952,1731661
2014-02-27,95.09,95.923,94.7304,95.4933,1792069
2014-02-28,95.581,97.2296,95.4495,96.7648,1960194
2014-03-03,96.1685,96.1685,95.1777,95.6161,1411812
2014-03-04,96.2825,97.5014,96.0808,97.212,1753400
2014-03-05,95.9838,96.9293,95.7099,95.9927,1481721
2014-03-06,96.2401,97.0883,96.0899,96.6554,1697194
2014-03-07,97.1148,97.1855,95.6834,96.2666,1732425
