date,open,high,low,close,volume
2014-01-02,23.1277,23.5207,22.9116,23.3046,8408771
2014-01-03,23.4127,23.4716,22.8428,23.0393,5955544
2014-01-06,23.4421,23.6779,22.9705,23.0688,15380593
2014-01-07,23.56,24.2281,23.4913,24.0807,17965296
2014-01-08,24.3853,24.5229,24.1397,24.2969,12722299
2014-01-09,24.4639,24.5523,24.0021,24.5425,13704403
2014-01-10,24.4639,24.9453,24.3264,24.9159,11667765
2014-01-13,25.2597,25.6488,24.7783,24.8078,18590328
2014-01-14,24.8667,25.4168,24.3951,25.3285,12972771
2014-01-15,25.5545,25.7903,25.1025,25.2696,11647632
2014-01-16,25.1025,25.4071,25.0534,25.3285,8391443
2014-01-17,25.4268,26.2324,25.4268,25.9475,14797578
2014-01-21,26.144,26.1833,25.6724,25.8983,15501668
2014-01-22,25.3187,25.4169,24.9331,25.2892,15975817
2014-01-23,25.0043,25.0534,24.3657,24.739,14266756
2014-01-24,24.1888,24.4148,23.2555,23.3635,20361867
2014-01-27,23.452,23.6681,22.6856,23.3635,13565559
2014-01-28,23.3635,24.0611,23.3537,23.6288,14607768
2014-01-29,23.3734,23.5502,22.7588,22.8723,12027689
2014-01-30,23.4127,23.8351,23.226,23.6878,12161621
2014-01-31,23.4421,24.1495,23.3734,23.9334,11109452
2014-02-03,23.9432,24.2085,23.1523,23.4421,12962781
2014-02-04,23.5797,23.953,23.4814,23.7762,7488152
2014-02-05,23.3242,23.3881,22.6365,23.2555,13352501
2014-02-06,23.5699,24.12,23.5404,23.8646,9101083
2014-02-07,24.012,24.4836,23.9137,24.3657,7941806
2014-02-10,24.2674,24.464,24.0906,24.2085,9222643
2014-02-11,24.3755,24.8274,24.3165,24.8078,10782267
2014-02-12,24.9257,25.1025,24.6801,24.8766,7706943
2014-02-13,25.0141,25.1811,24.7095,25.132,7632493
2014-02-14,25.1124,25.5741,25.0632,25.5643,9252534
2014-02-18,25.6626,25.8738,25.3187,25.3973,11227957
2014-02-19,25.2892,26.2127,24.6113,25.299,23972953
2014-02-20,25.6822,26.4584,25.6822,26.3601,15461385
2014-02-21,26.4584,26.8514,26.4092,26.5763,9740131
2014-02-24,26.6352,27.49,26.6352,27.3524,10180336
2014-02-25,27.5194,27.7061,26.9403,27.0577,9569814
2014-02-26,27.2149,27.5391,26.704,27.0086,11587877
2014-02-27,26.93,27.6668,26.9005,27.3721,10858353
2014-02-28,27.4114,27.4802,26.7728,27.0675,9264236
2014-03-03,26.6843,27.7061,26.5271,27.1166,9907819
2014-03-04,27.49,27.883,27.4703,27.7945,12383685
2014-03-05,27.883,28.0647,27.6668,27.7258,9221896
2014-03-06,27.8535,28.0598,27.7749,27.8928,6777655
2014-03-07,28.1679,28.2465,27.5391,27.7945,11343334
2014-03-10,27.657,27.8437,26.9987,27.2247,9287152
2014-03-11,27.3328,27.6373,26.4191,26.5763,11541722
2014-03-12,26.4476,27.0184,26.3306,26.478,10365730
2014-03-13,26.5664,26.8317,25.8296,26.0359,10147217
2014-03-14,25.8885,26.1243,25.692,25.8099,7603332
2014-03-17,25.9376,26.478,25.9376,26.144,6537001
2014-03-18,26.2324,26.6352,26.1833,26.3208,6656263
2014-03-19,26.3699,26.5075,25.859,26.1145,5191166
2014-03-20,26.0064,26.1047,25.5348,25.918,8035593
2014-03-21,26.1243,26.1538,25.6626,25.7215,6484872
2014-03-24,25.8885,25.9082,25.0043,25.3973,9106914
2014-03-25,25.5643,25.8296,25.0731,25.1615,7818404
2014-03-26,25.2106,25.2204,24.3853,24.5327,9091779
2014-03-27,24.3657,24.513,23.7074,24.4639,14095939
2014-03-28,24.5622,24.9895,24.3264,24.4443,11508729
2014-03-31,24.7685,25.5447,24.7488,25.4071,10308767
2014-04-01,26.2913,26.4584,25.9671,26.0654,11370280
2014-04-02,26.1341,26.252,25.8296,26.2324,6327120
2014-04-03,26.478,26.5271,25.5741,25.7903,6968952
2014-04-04,26.0162,26.1636,24.7685,24.9846,9762356
2014-04-07,24.5523,24.6702,22.9804,23.5011,21734396
2014-04-08,23.5502,24.1476,23.1965,24.0316,11749008
2014-04-09,24.2478,24.5032,23.732,24.4246,9163952
2014-04-10,24.7587,25.0632,23.4814,23.6583,11704362
2014-04-11,23.4716,24.1004,23.1376,23.4913,8287037
2014-04-14,23.619,23.786,22.7937,23.2653,9854318
2014-04-15,23.2063,23.3144,22.1845,23.0491,14544982
2014-04-16,23.2456,23.9039,23.1965,23.7958,8475605
2014-04-17,23.6288,24.0611,23.5109,23.5404,10634179
2014-04-21,23.7271,23.845,23.1867,23.4618,9371872
2014-04-22,23.7467,24.739,23.56,24.5327,9741905
2014-04-23,24.5916,24.6015,23.6092,23.7664,9568965
2014-04-24,24.12,24.179,23.4323,24.12,6812475
2014-04-25,23.9039,23.9039,23.059,23.2456,10361494
2014-04-28,23.2456,23.2751,22.1256,22.6168,17156480
2014-04-29,23.4716,24.6604,23.2849,24.5425,21585002
