date,open,high,low,close,volume
2014-01-02,42.2083,42.5656,41.9448,41.985,1648763
2014-01-03,42.1011,42.1726,41.7974,41.8331,1689503
2014-01-06,42.0743,42.1458,41.5115,41.6098,2203765
2014-01-07,41.6455,41.6991,41.0917,41.4043,2489721
2014-01-08,41.4133,42.512,41.4133,41.9314,4079510
2014-01-09,42.2351,42.2619,41.1185,41.2078,3353111
2014-01-10,41.315,41.7527,41.0024,41.583,2904284
2014-01-13,41.5473,41.8153,41.19,41.2257,1506696
2014-01-14,41.324,43.0301,41.3061,42.9051,5185925
2014-01-15,43.6376,44.3656,43.4053,44.0485,8271088
2014-01-16,44.0574,44.3076,43.8181,44.0574,3573629
2014-01-17,43.977,44.0128,43.182,43.3607,4055322
2014-01-21,43.45,43.5706,42.923,43.1641,2582643
2014-01-22,42.2262,42.7086,41.8063,42.6728,4199477
2014-01-23,42.2708,42.4584,41.5473,42.0029,3882434
2014-01-24,41.7527,41.8063,40.3637,40.5378,4940350
2014-01-27,40.3145,40.511,39.7339,39.9304,3980577
2014-01-28,39.9751,40.4753,39.7696,40.3324,2181547
2014-01-29,40.0644,40.7433,39.7294,39.9125,3605046
2014-01-30,39.8857,40.1895,38.9299,40.1359,5196390
2014-01-31,39.457,40.2163,39.3944,39.8947,4101264
2014-02-03,40.0465,40.7701,39.783,39.8857,4349402
2014-02-04,39.9483,40.5825,39.9215,40.3056,3414007
2014-02-05,40.252,40.3145,39.5776,40.0733,3462435
2014-02-06,40.5646,41.3775,40.4664,41.2793,4440051
2014-02-07,41.7527,41.8599,41.2168,41.4937,4529448
2014-02-10,41.4579,42.1279,41.3329,41.8242,4078200
2014-02-11,42.6996,43.1909,42.3423,42.8426,4441903
2014-02-12,42.8515,43.6376,42.6996,42.8604,4376974
2014-02-13,42.7443,43.0748,42.3691,42.5478,3254422
2014-02-14,42.4763,42.8604,42.2619,42.6818,2059883
2014-02-18,42.8515,43.0837,42.445,42.7979,2311541
2014-02-19,42.7443,43.1731,42.3155,42.387,2931794
2014-02-20,42.5478,43.2624,42.5299,43.2088,2514811
2014-02-21,43.1999,43.7627,42.8604,42.9051,4085639
2014-02-24,42.9408,43.6644,42.8783,42.8783,2761668
2014-02-25,42.9498,43.2088,42.7309,42.8872,2159585
2014-02-26,42.9408,43.2088,42.655,42.9944,1762368
2014-02-27,42.9855,43.3483,42.6728,43.2177,2725847
2014-02-28,43.2892,43.9056,42.8962,43.6465,3291530
2014-03-03,43.316,44.1378,43.0123,43.7537,3792192
2014-03-04,44.0859,44.2116,43.7178,43.9692,4223492
2014-03-05,43.9872,45.1185,43.6549,44.7593,4442992
2014-03-06,44.9928,45.4597,44.8222,44.894,5509532
2014-03-07,44.8132,45.0467,44.4271,44.6516,3369591
2014-03-10,44.6336,44.8402,44.05,44.7953,2512701
2014-03-11,44.8402,44.8402,43.5113,43.8255,3597654
2014-03-12,43.5472,43.7807,43.2509,43.3586,2910582
2014-03-13,43.5472,43.7088,42.5416,42.793,3087201
2014-03-14,42.766,43.4305,42.6493,43.0085,2793828
2014-03-17,43.3227,43.5382,43.0354,43.1162,2160557
2014-03-18,43.0713,43.7447,43.0713,43.5831,2246305
2014-03-19,43.4933,44.077,43.4933,43.9333,3208979
2014-03-20,43.7717,44.0321,43.5382,44.0321,2314181
2014-03-21,44.6696,44.6696,43.5382,43.6819,4408239
2014-03-24,43.6819,43.8794,43.2698,43.4843,2283499
2014-03-25,43.6819,44.1398,43.6729,43.7178,2024067
2014-03-26,43.9512,44.4092,43.5652,43.5652,2674089
2014-03-27,43.4484,43.9872,43.215,43.7268,1871709
2014-03-28,43.9243,44.4361,43.8166,44.1488,1755211
2014-03-31,44.3284,44.9569,44.041,44.894,3415698
2014-04-01,44.8581,45.2622,44.0231,44.7144,3573979
2014-04-02,44.5349,44.6875,43.8615,44.463,3084399
2014-04-03,44.4541,44.5798,44.1129,44.3733,1809229
2014-04-04,44.6426,44.815,43.9961,44.1488,2083185
2014-04-07,44.0859,44.1398,43.0893,43.3497,2732279
2014-04-08,43.3946,43.637,43.1432,43.3586,1531899
2014-04-09,43.3138,43.7807,43.197,43.5292,1342160
2014-04-10,43.5921,43.7088,42.8829,43.1701,2149485
2014-04-11,42.9636,42.9726,42.2812,42.38,2194831
2014-04-14,42.5954,42.9726,42.3081,42.5954,2011714
2014-04-15,42.9366,43.5113,42.7661,43.4305,2575105
2014-04-16,43.6549,43.8884,43.4574,43.6729,1814569
2014-04-17,43.637,43.9512,43.5292,43.7447,1916607
2014-04-21,43.9064,44.1764,43.628,43.8974,1517898
2014-04-22,43.9961,44.2655,43.8525,44.0321,1322549
2014-04-23,43.9961,44.1667,43.7807,43.8525,1461341
2014-04-24,44.059,44.1039,43.4305,43.8076,1377893
2014-04-25,43.7358,44.481,43.6101,44.3733,2378044
2014-04-28,44.5349,44.894,44.2386,44.6606,3072895
2014-04-29,44.7683,45.0107,44.6696,44.8402,1880733
2014-04-30,44.8761,45.1185,44.7234,44.9299,2020001
2014-05-01,44.903,45.1005,44.5528,44.7324,1253499
2014-05-02,44.7683,45.0736,44.7144,44.8312,2038853
2014-05-05,44.7504,44.7863,44.4091,44.6336,1719767
2014-05-06,43.7986,43.9961,43.188,43.6909,3730676
2014-05-07,43.7178,43.8704,43.4484,43.7717,2038267
2014-05-08,43.5562,44.0859,43.4843,43.637,1610137
2014-05-09,43.637,43.637,43.2868,43.5113,1506260
2014-05-12,43.6011,43.9512,43.5606,43.7447,1660652
2014-05-13,43.8615,44.481,43.7717,44.2296,2150959
2014-05-14,44.3822,45.2711,44.2583,44.894,4982739
2014-05-15,44.8222,44.894,43.9064,44.2655,2998527
2014-05-16,44.2835,44.4451,43.8121,44.2745,1898896
2014-05-19,44.1937,44.6426,44.1218,44.4451,1319056
2014-05-20,44.3014,44.8536,44.3014,44.6067,2655940
2014-05-21,44.5528,44.921,44.3104,44.894,2345112
2014-05-22,44.6112,44.921,44.3463,44.4271,2955150
2014-05-23,44.499,44.5798,44.1757,44.472,1735872
2014-05-27,44.5259,44.7773,44.3553,44.5079,1903188
2014-05-28,44.5798,44.921,44.1129,44.2924,2098741
2014-05-29,44.2924,44.8671,44.2655,44.7773,1568868
2014-05-30,44.6067,44.903,44.4002,44.885,2569756
2014-06-02,44.8761,44.912,44.6067,44.7504,1767453
2014-06-03,44.5879,44.5879,44.0826,44.1728,2307997
2014-06-04,44.1097,44.7903,43.7036,44.1006,2461773
2014-06-05,44.1097,44.209,43.5231,44.0645,2469664
2014-06-06,44.0375,44.1548,43.7397,43.9833,2900104
2014-06-09,43.9021,44.4977,43.9021,44.2811,2420023
2014-06-10,44.2089,44.4706,43.9021,44.3172,2125862
2014-06-11,44.2179,44.3668,43.9382,44.0465,1682493
2014-06-12,44.0465,44.2179,43.848,43.857,2198749
2014-06-13,43.8209,43.8931,43.5411,43.8389,1516245
2014-06-16,43.8028,44.8406,43.7171,44.8045,5295174
2014-06-17,44.7594,45.5264,44.4165,45.1655,5438946
2014-06-18,45.1655,45.4723,44.9128,45.1745,3740966
2014-06-19,45.5264,45.8152,45.2557,45.6889,4839846
2014-06-20,45.8693,45.9776,45.5264,45.6979,5915635
2014-06-23,45.725,46.2484,45.4903,45.8332,3051982
2014-06-24,45.8603,45.9415,45.2106,45.2377,2573836
2014-06-25,45.3369,45.6437,44.985,45.0843,2159204
2014-06-26,45.0752,45.1294,44.7684,45.0843,1840044
2014-06-27,44.8857,45.2377,44.7955,44.8496,5186615
2014-06-30,45.003,45.0211,44.5789,44.624,3088189
2014-07-01,44.6782,44.7504,44.4796,44.5338,2387506
2014-07-02,44.5789,44.624,44.1026,44.2811,4264417
2014-07-03,44.3353,44.4345,44.1278,44.3894,1975664
2014-07-07,44.3623,44.4435,43.9382,44.0014,2851985
2014-07-08,43.848,43.9111,43.0448,43.487,4549141
2014-07-09,43.496,43.5863,42.8643,43.3516,3564930
2014-07-10,42.7831,42.932,42.2687,42.7199,3205550
2014-07-11,42.6929,42.8824,42.5936,42.6568,1992525
2014-07-14,42.756,43.1711,42.5936,42.9546,2907598
2014-07-15,43.117,43.5772,42.7109,42.8373,2212471
2014-07-16,42.8643,43.2524,42.8643,43.1441,1828538
2014-07-17,43.0448,43.2794,42.7109,42.9094,2113608
2014-07-18,42.9365,43.1892,42.8102,43.126,2238560
2014-07-21,43.0268,43.0268,42.4537,42.6207,2312585
2014-07-22,42.729,42.8553,42.5846,42.6568,2041797
2014-07-23,42.756,42.9546,42.5124,42.8643,1990532
2014-07-24,43.1892,43.5321,42.5756,42.7199,3554632
2014-07-25,42.6838,42.7741,42.3545,42.5034,2126169
2014-07-28,42.5485,42.8463,42.368,42.8282,1764514
2014-07-29,42.8643,42.9995,42.5936,42.5936,1349637
2014-07-30,42.6478,42.7939,42.35,42.5756,1933275
2014-07-31,42.1875,42.7741,41.4656,41.61,3638594
2014-08-01,41.6641,42.4402,41.3663,42.359,3688107
2014-08-04,41.6641,42.4402,41.3663,42.359,3688107
2014-08-05,42.1424,42.6568,42.0612,42.5124,3620146
2014-08-06,42.1153,42.5756,42.1063,42.4402,2915933
2014-08-07,42.5485,42.6387,41.5748,41.7092,2691550
2014-08-08,41.7092,41.7814,41.1678,41.7634,2270887
2014-08-11,41.9439,42.192,41.8807,41.9619,1398072
2014-08-12,41.9619,42.1063,41.8446,41.989,1507825
2014-08-13,41.6732,41.7002,41.0595,41.258,3254636
2014-08-14,41.258,41.5017,41.1407,41.4746,1435930
2014-08-15,41.5197,41.9529,41.4566,41.9168,2346014
2014-08-18,42.0973,42.4221,42.0251,42.4041,2399865
2014-08-19,42.368,42.7742,42.1965,42.5124,1559555
2014-08-20,42.4582,42.7696,42.3409,42.738,1856500
2014-08-21,42.6748,42.9997,42.6568,42.9094,1753515
2014-08-22,42.8553,42.9997,42.7299,42.8373,1921016
2014-08-25,42.9997,43.0268,42.8282,42.8914,1423198
2014-08-26,42.9546,43.0448,42.8553,42.8914,1793945
2014-08-27,42.9094,43.3155,42.8914,43.2704,2479302
2014-08-28,43.0448,43.505,42.9275,43.2885,1935874
2014-08-29,43.2614,43.3924,43.0268,43.099,1698097
2014-09-02,43.2078,43.2214,42.7452,42.9992,2157238
2014-09-03,43.2169,43.2242,42.7724,42.8631,1617674
2014-09-04,42.8268,42.972,42.4549,42.5456,3139359
2014-09-05,42.6363,42.9085,42.5275,42.8722,2145571
2014-09-08,42.8268,42.9175,42.6363,42.7633,1536187
2014-09-09,42.5184,42.5184,41.7745,41.9378,3145229
2014-09-10,41.838,41.9832,41.4117,41.9015,2966277
2014-09-11,41.6112,42.0376,41.4752,41.8743,2412551
2014-09-12,41.8834,42.1374,41.575,41.9922,2679688
2014-09-15,41.9197,42.219,41.829,42.1011,1861787
2014-09-16,41.956,42.4912,41.829,42.4368,2971516
2014-09-17,42.591,42.7633,42.3914,42.464,2115454
2014-09-18,42.5638,42.727,42.2553,42.3914,1558551
2014-09-19,42.5275,42.5275,42.0376,42.1283,4626297
2014-09-22,42.083,42.1827,41.6248,41.8834,2016327
2014-09-23,41.9106,42.2735,41.5432,41.5659,4291807
2014-09-24,41.5477,41.7745,41.2484,41.711,1869836
2014-09-25,41.5477,41.584,41.203,41.2212,2300265
2014-09-26,41.1758,41.2937,40.9853,41.2847,1444307
2014-09-29,40.949,41.2892,40.7404,41.203,2257256
2014-09-30,40.4682,40.6769,39.9965,40.2868,5028362
2014-10-01,39.9965,40.0419,38.9714,39.2163,4744804
2014-10-02,39.044,39.0803,38.0008,38.9442,5050985
2014-10-03,39.0803,39.0803,38.4181,38.6539,3570470
2014-10-06,38.8081,39.2073,38.663,39.0531,3317710
2014-10-07,38.8626,39.1256,38.5314,38.5451,2712719
2014-10-08,38.5451,39.1982,38.1278,39.1801,2578654
2014-10-09,38.9805,39.1256,38.0824,38.1459,2545694
2014-10-10,38.0552,38.2729,37.5744,37.7558,3125383
2014-10-13,37.7558,38.2185,37.2297,37.2478,2451008
2014-10-14,37.5472,38.2729,37.402,37.6198,3277262
2014-10-15,37.4202,37.7649,36.5765,37.5563,3438998
2014-10-16,36.8033,37.8601,36.8033,37.1027,4076326
2014-10-17,37.3476,37.6379,36.9757,36.9757,4998281
