date,open,high,low,close,volume
2014-01-02,22.5732,23.3427,22.5155,23.0445,12240365
2014-01-03,23.2465,23.3571,22.9676,23.006,10234947
2014-01-06,23.3234,23.6024,23.083,23.1599,9288957
2014-01-07,22.9387,23.0638,22.6117,23.0349,8783829
2014-01-08,22.7848,22.8233,22.4386,22.5059,8051169
2014-01-09,22.4001,22.5155,22.2367,22.3136,7143876
2014-01-10,22.7752,23.1215,22.6598,22.8906,8510261
2014-01-13,23.0445,23.0445,22.6309,22.9676,8487720
2014-01-14,22.8522,23.1984,22.3616,22.5155,9836495
2014-01-15,22.3809,22.9003,22.3328,22.679,6931190
2014-01-16,22.9387,23.0445,22.6502,23.0349,6368787
2014-01-17,23.2561,23.9294,23.2465,23.612,12787423
2014-01-21,23.4196,24.1602,23.3619,23.8717,10740906
2014-01-22,23.737,23.7562,23.1697,23.4581,8279682
2014-01-23,23.862,24.5257,23.8043,24.2083,10907731
2014-01-24,24.4872,24.6699,23.5254,23.9294,10561463
2014-01-27,23.7274,23.7659,23.2369,23.2561,9802180
2014-01-28,23.41,23.814,23.1599,23.7178,6630246
2014-01-29,24.1217,24.2564,23.3908,23.9197,10626569
2014-01-30,22.9291,23.4581,22.8906,23.1792,10667910
2014-01-31,22.7945,22.8329,20.4573,20.7747,35309909
2014-02-03,20.8709,21.0151,20.1976,20.2169,18142709
2014-02-04,20.1207,20.4958,20.1014,20.3707,13733565
2014-02-05,20.5823,20.6352,20.063,20.0726,10125327
2014-02-06,20.1014,20.4477,19.9908,20.2072,9256236
2014-02-07,20.2938,20.8228,20.2169,20.6977,10608370
2014-02-10,20.9574,21.573,20.919,21.3518,12044078
2014-02-11,21.4576,22.1501,21.4576,22.025,13959170
2014-02-12,21.9962,22.0635,21.4479,21.6499,11876181
2014-02-13,21.7942,22.6598,21.6018,22.6309,11131162
2014-02-14,23.1888,23.2994,22.5155,22.9195,13703114
2014-02-18,23.3331,23.4004,22.8425,23.285,11778742
2014-02-19,23.1888,23.3909,22.7752,22.8618,9792712
2014-02-20,22.8137,23.6088,22.7367,23.5254,10012298
2014-02-21,23.107,23.1696,21.8423,22.4867,23043291
2014-02-24,22.5636,22.9099,22.4001,22.7656,10768348
2014-02-25,22.6983,23.1599,22.6598,22.8425,10138701
2014-02-26,22.756,22.9964,22.5059,22.6598,9645563
2014-02-27,22.7079,23.1551,22.4771,22.6887,8346408
2014-02-28,22.6598,22.6983,22.1404,22.3713,11153541
2014-03-03,22.9964,23.3234,22.5444,22.7271,9904372
2014-03-04,22.5348,23.2753,22.3905,23.2176,8861797
2014-03-05,23.2753,23.7178,23.1599,23.6408,8442221
2014-03-06,23.7274,24.1217,23.5927,23.9775,6749015
2014-03-07,23.6408,23.6985,22.9676,23.6601,9714768
2014-03-10,23.6216,23.7082,23.0253,23.3811,6153049
2014-03-11,23.6037,23.7586,23.3134,23.565,8752825
2014-03-12,23.8844,24.3102,23.7973,24.2037,7986170
2014-03-13,24.2618,24.707,24.0779,24.6586,8367273
2014-03-14,24.9392,25.3554,24.8909,25.336,15073612
2014-03-17,25.0941,25.5199,24.7457,24.9392,11182901
2014-03-18,24.6199,24.7941,24.3875,24.4554,8310374
2014-03-19,24.1747,24.5231,23.6521,23.7102,8475398
2014-03-20,23.4779,24.1747,23.4102,23.7876,10636320
2014-03-21,24.0973,24.0973,23.5747,23.7586,12369659
2014-03-24,23.6618,23.807,22.9844,23.1198,7846335
2014-03-25,23.2263,23.4131,23.0327,23.1489,5268415
2014-03-26,23.1198,23.2457,22.2585,22.3263,8926591
2014-03-27,22.2295,22.4037,21.9295,22.2005,12032653
2014-03-28,22.2682,23.3521,22.1811,23.1489,11288846
2014-03-31,23.1295,23.3231,22.5585,22.6844,7717286
2014-04-01,22.7618,22.9747,22.6456,22.694,7456330
2014-04-02,23.0424,23.6715,22.965,23.4586,7225272
2014-04-03,23.2844,23.4005,23.0569,23.3231,5475621
2014-04-04,23.6328,23.8505,23.2747,23.3328,6420081
2014-04-07,23.4876,24.0489,23.4295,23.6521,6916399
2014-04-08,24.0199,24.2531,23.8747,24.1457,6538114
2014-04-09,24.0295,24.5425,23.7779,24.1844,6966026
2014-04-10,24.3779,24.6876,23.8699,23.9908,6729223
2014-04-11,23.9424,23.9812,23.3231,23.4489,6458229
2014-04-14,23.7682,23.9424,23.507,23.6231,6516488
2014-04-15,23.0327,23.1682,22.5295,23.0715,9240514
2014-04-16,23.0908,23.2457,22.7521,22.9844,5348240
2014-04-17,22.9747,23.1295,22.7424,22.7811,5468587
2014-04-21,24.6296,24.6392,23.807,24.2424,16057489
2014-04-22,24.1747,24.3876,23.5311,24.2328,13740046
2014-04-23,24.1941,25.4134,24.165,25.0844,12694818
2014-04-24,24.7941,24.9683,24.4554,24.6683,11985403
2014-04-25,24.8618,25.6457,24.7844,25.5973,11560549
2014-04-28,24.3683,24.5715,23.8166,23.8747,16927676
2014-04-29,23.8941,24.4554,23.8941,24.2134,10763138
2014-04-30,24.0586,24.2521,23.7682,24.0295,6504869
2014-05-01,23.8941,24.0876,23.5457,23.7392,6982877
2014-05-02,23.7779,24.137,23.6134,23.9231,5709525
2014-05-05,24.2134,24.2134,23.9134,24.0489,3881957
2014-05-06,24.0199,24.0199,23.7102,23.807,3488875
2014-05-07,23.4876,23.507,23.0134,23.236,8356738
2014-05-08,23.2166,23.4102,23.0134,23.2263,4286755
2014-05-09,23.2553,23.3424,22.9456,23.2457,3506003
2014-05-12,23.536,23.8747,23.536,23.7199,4430780
2014-05-13,23.7005,24.165,23.7005,23.8844,3201291
2014-05-14,24.107,24.1844,23.7973,23.836,3563568
2014-05-15,23.594,23.7586,23.3618,23.507,4184153
2014-05-16,23.4586,23.4586,23.0037,23.2166,4389502
2014-05-19,23.3424,23.3521,22.5198,22.5876,8432725
2014-05-20,22.5682,22.9166,22.5295,22.8585,4104072
2014-05-21,22.7521,22.8489,22.665,22.8295,4098263
2014-05-22,22.9456,22.9844,22.5585,22.6069,3741030
2014-05-23,22.6166,22.8585,22.5876,22.6456,3652645
2014-05-27,22.4714,22.4714,21.8811,21.9489,7566975
2014-05-28,21.8521,21.8908,21.5037,21.7553,7531020
2014-05-29,21.5811,22.2682,21.5424,22.0263,5896771
2014-05-30,21.9585,22.1618,21.8134,22.1521,4975154
2014-06-02,22.0456,22.1908,21.7263,21.8521,4136806
2014-06-03,21.794,22.094,21.4987,22.0843,5429888
2014-06-04,21.9972,22.336,21.8714,22.1521,4973865
2014-06-05,22.1714,22.4158,21.9392,22.2779,5021053
2014-06-06,22.2198,22.4424,22.065,22.365,3680621
2014-06-09,22.3456,22.3747,21.8811,21.9392,4583391
2014-06-10,22.2914,22.5263,22.0859,22.2914,5020174
2014-06-11,22.3599,22.6926,22.3599,22.5948,5646147
2014-06-12,22.6535,22.9569,22.5752,22.8003,6296516
2014-06-13,22.7416,22.9764,22.4186,22.8981,4684707
2014-06-16,22.996,23.0156,22.5752,22.6633,4283270
2014-06-17,22.4969,22.9275,22.3991,22.8101,4414903
2014-06-18,22.8296,23.2308,22.7318,23.2308,5886557
2014-06-19,23.5538,24.0626,23.3972,24.0137,12448121
2014-06-20,24.0039,24.3855,23.769,24.3268,14265736
2014-06-23,24.2779,24.7098,24.0528,24.6497,5643827
2014-06-24,24.7378,24.8748,24.1409,24.1605,5886597
2014-06-25,24.1703,24.4932,24.0137,24.3464,5317866
2014-06-26,24.2583,24.5519,23.9354,24.5323,6636701
2014-06-27,24.4638,24.8151,24.3464,24.6497,5096262
2014-06-30,24.4932,24.9922,24.2877,24.8944,6524056
2014-07-01,24.9335,25.1684,24.2485,24.5421,5857103
2014-07-02,24.5715,24.9531,24.5128,24.8161,4465667
2014-07-03,24.6008,24.6693,24.3366,24.6497,3839529
2014-07-07,24.454,24.6009,24.1507,24.1996,5365565
2014-07-08,24.3366,24.4247,23.955,24.2681,7248827
