date,open,high,low,close,volume
2014-01-02,56.8918,57.0668,55.8831,56.0904,1011050
2014-01-03,56.3759,56.7444,56.1788,56.4681,873087
2014-01-06,56.6247,56.9194,55.8048,56.118,1518545
2014-01-07,56.293,57.03,55.9798,56.8365,1155742
2014-01-08,56.7168,57.2418,56.4174,57.1313,2320926
2014-01-09,57.2603,57.4629,56.4588,56.6431,909445
2014-01-10,56.247,56.6431,56.0535,56.3022,862063
2014-01-13,56.2286,56.4036,55.5054,55.6666,1025669
2014-01-14,55.8693,56.1641,55.6528,55.8232,1118521
2014-01-15,56.1364,56.551,56.0167,56.3759,1330414
2014-01-16,56.2286,56.5095,55.943,56.2378,1080119
2014-01-17,56.3667,56.4957,55.5745,55.9246,1569006
2014-01-21,56.3391,56.7352,55.639,55.8324,1524916
2014-01-22,56.9102,58.0341,55.9706,57.6748,4200546
2014-01-23,57.813,57.9857,56.8826,57.6656,1983630
2014-01-24,56.3391,57.2787,56.2746,56.3115,1977061
2014-01-27,56.4128,56.6431,55.7403,55.7772,1435565
2014-01-28,55.6298,56.2608,55.5653,55.9706,1447840
2014-01-29,55.5653,56.3483,55.4916,55.9154,1561515
2014-01-30,56.2746,56.5049,55.6574,56.3022,955203
2014-01-31,55.5285,55.989,55.1139,55.4732,1259922
2014-02-03,55.5469,55.639,53.7137,53.7967,1452171
2014-02-04,53.9809,55.2014,53.7091,55.0679,1509936
2014-02-05,54.9481,55.2521,54.4691,54.4967,937615
2014-02-06,54.552,55.2245,54.3309,55.0402,794818
2014-02-07,55.2705,56.1272,55.0863,55.943,967949
2014-02-10,55.9338,56.0904,55.6206,56.0535,555764
2014-02-11,56.0075,57.1037,55.6574,56.901,838942
2014-02-12,56.9379,57.4675,56.7536,56.9931,1155523
2014-02-13,56.6799,57.2142,56.5233,57.1497,895644
2014-02-14,57.0116,57.4721,56.8826,57.3432,775879
2014-02-18,57.1129,57.5366,56.726,57.3155,787841
2014-02-19,56.9839,57.4261,56.5602,56.5878,1066155
2014-02-20,56.6891,57.0852,56.1687,56.6891,926907
2014-02-21,56.8089,57.38,56.3022,57.0208,860192
2014-02-24,56.9563,57.8867,56.9563,57.5274,947774
2014-02-25,57.6011,57.6011,56.8918,56.9839,676117
2014-02-26,57.1221,57.2603,56.4404,56.855,869752
2014-02-27,56.6339,57.2879,56.6247,57.2787,839776
2014-02-28,57.1589,57.5643,56.6984,56.9747,1547712
2014-03-03,56.5878,57.1129,55.989,56.4957,1185402
2014-03-04,57.1221,57.4629,56.9379,57.38,990783
2014-03-05,57.093,57.5374,57.019,57.5189,710814
2014-03-06,57.7411,58.3243,57.4634,58.1577,812790
2014-03-07,58.2873,59.4908,58.2318,59.2686,1548632
2014-03-10,59.1113,59.6204,58.8335,59.3612,781317
2014-03-11,58.3336,59.139,58.241,58.4539,726419
2014-03-12,58.0188,58.3429,57.7133,58.0466,728894
2014-03-13,58.3243,58.3243,57.1301,57.2088,1013461
2014-03-14,57.3152,57.6578,57.0745,57.4356,906218
2014-03-17,57.8614,58.3151,57.6948,58.0929,646974
2014-03-18,58.0466,58.4678,57.8152,58.3984,984481
2014-03-19,58.4354,59.2594,58.0373,59.1761,1403632
2014-03-20,58.9446,61.1943,58.7224,60.7129,2496825
2014-03-21,61.5368,62.1849,60.7962,60.8888,2363040
2014-03-24,61.0739,61.4813,60.2037,60.7777,1438709
2014-03-25,61.185,61.4303,60.0278,60.4629,1020141
2014-03-26,60.8702,60.9073,59.8519,59.8704,852232
2014-03-27,59.8611,60.1111,58.9492,59.5464,1296972
2014-03-28,59.8149,60.5462,59.5464,60.0926,760875
2014-03-31,60.5832,60.8795,60.1204,60.6943,786979
2014-04-01,60.898,61.0832,60.4444,60.8702,833316
2014-04-02,60.8332,60.9536,60.4907,60.7684,2180015
2014-04-03,61.0091,61.0461,60.3518,60.611,1543054
2014-04-04,60.8888,60.9721,59.2594,59.3982,1541092
2014-04-07,59.4353,59.5834,57.9263,58.167,1726217
2014-04-08,58.1299,58.5558,57.4865,57.9355,1887759
2014-04-09,58.1762,58.2271,57.6485,58.1207,1105537
2014-04-10,58.204,58.2132,56.8431,56.9912,1621063
2014-04-11,56.445,56.7412,56.0839,56.0932,1282430
2014-04-14,56.8153,57.0468,56.121,56.6764,1495046
2014-04-15,54.0472,55.6951,53.9741,55.2045,3196775
2014-04-16,56.0377,56.0793,54.2046,54.6582,3107171
2014-04-17,54.5471,55.3341,54.4823,54.9823,1923249
2014-04-21,55.223,55.7136,55.0656,55.4637,1354285
2014-04-22,55.26,56.195,54.7971,55.8155,1181129
2014-04-23,55.6859,56.4913,55.6859,56.3246,1141967
2014-04-24,56.6487,56.6857,55.7321,55.7692,1377980
2014-04-25,55.5933,55.7136,54.9823,55.0563,1432705
2014-04-28,55.2045,55.26,54.3342,54.8064,1400935
2014-04-29,55.1859,55.8016,54.9952,55.5655,859095
2014-04-30,55.4081,55.9266,54.2694,55.7784,921100
2014-05-01,55.7969,56.4172,55.4266,55.6025,932079
2014-05-02,55.5192,56.7227,54.2602,56.0006,787857
2014-05-05,55.584,55.8525,55.1952,55.6859,421729
2014-05-06,55.3803,55.5933,54.973,55.0285,806419
2014-05-07,55.3341,56.2043,54.9082,56.1395,803419
2014-05-08,56.2136,57.056,55.4359,56.5098,1212053
2014-05-09,56.769,57.1208,55.9636,56.5746,981902
2014-05-12,56.7135,57.2412,56.6672,57.1764,601260
2014-05-13,57.1208,57.3245,56.8709,57.1393,765039
2014-05-14,57.1023,57.1671,56.2136,56.3617,731909
2014-05-15,56.2784,56.482,54.362,55.1952,1621845
2014-05-16,55.3248,55.5191,54.6119,55.3711,1078092
2014-05-19,55.1582,55.7784,55.1582,55.621,746619
2014-05-20,55.5285,55.8895,55.01,55.1489,599612
2014-05-21,55.4081,55.7877,55.1859,55.4359,811294
2014-05-22,55.4174,56.0006,55.3202,55.8525,603801
2014-05-23,55.7784,56.0191,55.5562,55.8803,677183
2014-05-27,56.0839,56.5746,55.9821,56.3246,874448
2014-05-28,56.4357,56.607,55.9451,56.2691,832180
2014-05-29,56.3524,56.4172,55.7414,56.0006,712375
2014-05-30,56.0099,56.1302,55.7692,55.9173,794363
2014-06-02,55.9728,56.3617,55.7275,56.3154,440793
2014-06-03,56.0747,56.4543,56.0099,56.4172,561384
2014-06-04,56.3521,57.1246,56.3334,57.0502,666783
2014-06-05,57.0967,57.5622,56.743,57.3667,503290
2014-06-06,57.6366,58.1672,57.4597,57.9065,887393
2014-06-09,57.7762,58.5395,57.7762,58.3068,799221
2014-06-10,58.0555,58.4185,57.9624,58.3533,455501
2014-06-11,58.0275,58.0555,57.6924,57.8041,431389
2014-06-12,57.8507,58.2882,57.5156,57.8972,778065
2014-06-13,57.9903,58.4278,57.6924,57.9065,639133
2014-06-16,57.7297,58.2277,57.3853,57.9438,999927
2014-06-17,57.6831,60.4756,57.5351,59.4703,2330760
2014-06-18,59.4145,60.2429,59.0421,59.9357,2219482
2014-06-19,60.0754,60.1033,59.3121,59.6844,1019102
2014-06-20,60.0474,60.0474,59.4145,59.8426,1743075
2014-06-23,59.7216,60.0065,59.34,59.6751,777496
2014-06-24,59.4796,60.1498,59.3679,59.461,1001207
2014-06-25,59.2283,59.7589,58.9397,59.7123,666075
2014-06-26,59.6099,59.7496,58.7257,59.6379,720431
2014-06-27,59.4889,60.0567,59.2842,59.9916,943563
2014-06-30,60.0102,60.4104,59.677,59.7682,1246299
2014-07-01,60.0474,60.4942,59.7868,60.0381,1080056
2014-07-02,59.8613,60.4291,59.5541,59.6286,991663
2014-07-03,59.9357,60.7642,59.7007,60.4011,654222
2014-07-07,60.1312,60.3453,59.6472,60.3174,627212
2014-07-08,60.0567,60.094,59.4238,59.6844,615380
2014-07-09,60.0195,60.2336,59.3493,59.5913,974063
2014-07-10,59.1445,59.6192,58.7443,59.4145,626835
2014-07-11,59.4145,60.0288,58.977,59.9543,853245
2014-07-14,60.457,60.7176,59.7868,59.973,1163839
2014-07-15,60.0102,60.6897,59.8799,60.0195,1520766
2014-07-16,60.4104,61.1923,59.4936,60.0195,1505860
2014-07-17,59.7123,60.2057,59.4796,59.8892,1414799
2014-07-18,60.2243,60.6804,59.824,60.5221,1293982
2014-07-21,60.094,60.9969,60.094,60.9596,1126577
2014-07-22,60.9689,61.6112,60.8861,61.4995,1460513
2014-07-23,61.4437,62.0208,61.211,61.7974,1441982
2014-07-24,61.8067,62.6072,61.7788,62.4676,1115597
2014-07-25,62.4676,62.7096,62.3186,62.4862,1143761
2014-07-28,62.5048,62.7841,62.1883,62.5327,1049871
2014-07-29,62.0208,63.0168,62.0208,62.4676,993537
2014-07-30,62.8306,63.3984,62.2162,63.1843,1368129
