date,open,high,low,close,volume
2014-01-02,79.548,79.8258,78.6221,78.9925,2765153
2014-01-03,79.043,79.3291,78.176,78.7147,2848082
2014-01-06,79.0009,79.2113,78.4454,78.9504,3202335
2014-01-07,79.5985,80.5412,79.1945,80.4233,3724932
2014-01-08,79.952,80.2971,79.2871,79.7837,3520625
2014-01-09,79.8258,80.0614,79.1734,79.8258,3147857
2014-01-10,80.0025,80.0278,78.6234,78.9925,3411824
2014-01-13,78.5801,79.2028,76.9724,77.0482,5188921
2014-01-14,77.3764,77.7384,76.9867,77.6963,4392468
2014-01-15,78.075,78.1676,76.3748,76.9808,4926434
2014-01-16,76.8714,77.3849,76.6442,77.2418,3790923
2014-01-17,77.2165,77.4017,76.2149,76.2317,3949177
2014-01-21,76.7788,77.0313,75.2301,75.7267,4979234
2014-01-22,76.1897,76.8293,75.4574,76.56,3928233
2014-01-23,76.3075,76.3075,75.0534,75.2638,4373991
2014-01-24,74.7083,74.7672,73.7235,74.0686,4756051
2014-01-27,74.0265,74.1864,73.0586,73.3027,3585682
2014-01-28,73.4626,74.5315,73.3784,74.3295,2963827
2014-01-29,73.471,74.3969,73.2269,73.9171,4094733
2014-01-30,74.6915,75.1039,72.8062,74.3211,5523517
2014-01-31,73.8834,74.683,73.067,73.7067,5798826
2014-02-03,73.9003,74.3632,73.37,73.4289,6228699
2014-02-04,73.5804,74.1023,72.8734,73.3447,6190054
2014-02-05,73.572,73.8792,72.3011,73.471,5590570
2014-02-06,73.7403,74.8766,73.7403,74.4726,5375972
2014-02-07,74.742,76.5179,74.3632,76.2486,4957089
2014-02-10,76.1307,76.6947,75.8866,76.3327,4345501
2014-02-11,76.4253,77.5195,76.3664,77.0987,3775110
2014-02-12,77.5027,78.0245,77.3091,77.5953,3349740
2014-02-13,76.9388,77.8646,76.7199,77.6626,3711162
2014-02-14,79.7668,80.8526,79.346,80.6001,8799703
2014-02-18,80.8863,81.2482,80.2213,81.0378,5798978
2014-02-19,80.8442,81.223,79.851,79.9099,5371141
2014-02-20,79.9604,80.457,79.75,80.2971,3829114
2014-02-21,80.2298,80.7769,79.8821,80.2887,3696342
2014-02-24,80.9452,81.2903,80.558,80.861,4628596
2014-02-25,80.6927,80.8442,80.0564,80.6506,2895023
2014-02-26,80.8021,80.8021,79.649,80.1288,3750496
2014-02-27,80.0362,80.4233,79.6919,80.4065,2842224
2014-02-28,80.5917,81.7869,80.5917,81.2398,3998455
2014-03-03,80.6254,81.5344,80.3644,80.8442,3401207
2014-03-04,81.265,82.2077,81.1472,81.829,3307464
2014-03-05,82.031,82.2751,81.4502,81.5175,3063195
2014-03-06,81.4497,81.8737,81.2462,81.6362,2987187
2014-03-07,82.4927,82.603,81.6956,82.3655,2971326
2014-03-10,82.374,82.569,81.933,82.4418,2397793
2014-03-11,82.5945,82.6538,81.4751,81.755,2491471
2014-03-12,81.2886,81.8142,81.0257,81.738,3053549
2014-03-13,82.0094,82.1874,81.0096,81.2462,2621894
2014-03-14,80.8985,81.8906,80.8052,81.8482,2951364
2014-03-17,81.95,82.2552,81.7295,82.1281,2446482
2014-03-18,82.3486,82.9676,81.8906,82.4758,2893094
2014-03-19,82.4673,82.5775,80.1607,80.678,4596516
2014-03-20,80.3388,80.3473,77.3369,78.804,10873941
2014-03-21,79.1771,80.5932,78.6174,79.7707,10986668
2014-03-24,80.042,80.2286,79.0946,79.6011,4385976
2014-03-25,80.1777,80.6695,79.8385,80.2625,4342015
2014-03-26,80.4067,80.5169,79.1856,79.3212,5271084
2014-03-27,79.3212,80.4151,78.9057,80.254,4372013
2014-03-28,80.6017,81.0596,79.9657,81.0257,4263862
2014-03-31,81.4243,81.4497,80.5847,80.8052,3881025
2014-04-01,80.89,80.8985,80.2286,80.4745,4410969
2014-04-02,80.2286,81.6617,80.0335,81.4243,6579358
2014-04-03,81.7889,81.967,81.4327,81.8398,3569594
2014-04-04,82.2129,82.2383,80.0081,80.1777,5616488
2014-04-07,80.3219,80.3982,79.3382,79.3636,4447057
2014-04-08,79.5587,80.5678,79.0923,80.5169,3303027
2014-04-09,80.8985,81.4327,80.4067,81.3819,3112026
2014-04-10,81.2292,81.738,80.0081,80.0844,4148750
2014-04-11,79.7876,80.6271,79.1431,79.1431,5112364
2014-04-14,79.7283,80.3727,79.1262,79.9827,2942425
2014-04-15,80.0081,80.7035,79.4908,80.4745,4015739
2014-04-16,81.1105,81.3819,80.6695,81.2462,3810051
2014-04-17,80.907,82.0686,80.8985,81.9161,4609375
2014-04-21,82.0263,82.6793,81.9161,82.6369,2733479
2014-04-22,82.4334,82.8284,82.0687,82.1959,3292526
2014-04-23,81.9754,82.6878,81.9162,82.0602,2986589
2014-04-24,82.3146,82.5775,81.6193,82.374,1971639
2014-04-25,82.374,82.4079,81.6447,81.721,2453106
2014-04-28,82.0687,82.4503,81.5359,81.9839,4225030
2014-04-29,82.4673,83.2814,82.0942,82.145,3272438
2014-04-30,82.0263,82.0263,80.9579,81.1953,2811069
2014-05-01,81.1868,81.2377,80.4999,80.5508,3138776
2014-05-02,80.4575,80.7035,80.0505,80.0844,3526492
2014-05-05,80.4151,80.8815,79.5417,80.3049,5651294
2014-05-06,80.3897,81.5345,80.1438,81.2631,4656063
