date,open,high,low,close,volume
2014-01-02,24.8874,24.8874,24.4826,24.4909,4663954
2014-01-03,24.7965,24.8295,24.2844,24.4661,4209477
2014-01-06,24.6148,24.6767,24.4826,24.5735,4406021
2014-01-07,24.5983,24.7304,24.4909,24.7139,4239220
2014-01-08,24.623,24.652,24.3794,24.4909,4464146
2014-01-09,24.5322,24.5859,24.4331,24.5322,5216716
2014-01-10,24.6974,25.0608,24.6891,25.0195,4978715
2014-01-13,24.9039,25.036,24.7635,24.8956,3993333
2014-01-14,24.8956,24.9865,24.78,24.813,3381642
2014-01-15,24.7882,24.8378,24.5157,24.5239,6258532
2014-01-16,24.5652,24.7056,24.5074,24.6643,3883115
2014-01-17,24.7304,24.7635,24.4413,24.4413,4622554
2014-01-21,24.6891,24.6974,24.4,24.6726,3750207
2014-01-22,24.7056,24.9452,24.6451,24.9039,4290506
2014-01-23,24.8791,24.9534,24.6809,24.9121,3415170
2014-01-24,24.8213,25.0848,24.6602,24.6726,3600159
2014-01-27,24.6809,24.7222,24.5404,24.5735,3256280
2014-01-28,24.6148,24.8585,24.5487,24.8295,4429043
2014-01-29,24.8213,24.9947,24.6726,24.8378,5098198
2014-01-30,24.8874,25.1591,24.78,25.1021,3758631
2014-01-31,24.8956,25.2962,24.8378,25.2508,5802949
2014-02-03,25.5234,25.5399,25.1186,25.1847,5781499
2014-02-04,25.2591,25.2756,24.8626,25.0278,4714863
2014-02-05,24.97,25.0113,24.813,24.8708,3206449
2014-02-06,25.0278,25.2012,24.8956,25.0195,6233995
2014-02-07,25.0608,25.1269,24.9121,25.0608,5096609
2014-02-10,25.0443,25.3995,24.9121,25.3912,4019454
2014-02-11,25.3582,25.7464,25.3582,25.6721,4112251
2014-02-12,25.5895,25.7299,25.4821,25.6803,2565911
2014-02-13,25.5895,25.9529,25.5812,25.9116,3033469
2014-02-14,25.8455,26.0355,25.8207,26.0355,2922310
2014-02-18,26.1594,26.3411,26.0933,26.2503,3055769
2014-02-19,26.2007,26.3411,26.0355,26.1098,2783798
2014-02-20,26.1346,26.3659,26.1181,26.2585,3602678
2014-02-21,26.3246,26.4774,26.242,26.2668,3096073
2014-02-24,26.3576,26.5476,26.2668,26.275,3769520
2014-02-25,26.2998,26.5724,26.242,26.3576,3684539
2014-02-26,26.4155,26.5889,26.3659,26.5476,4150038
2014-02-27,26.5559,26.5972,26.3246,26.3989,3871285
2014-02-28,26.5146,26.6963,26.4485,26.6715,3714688
2014-03-03,26.5889,26.6715,26.2916,26.4402,4450625
2014-03-04,26.6054,26.7541,26.5311,26.688,4893264
2014-03-05,26.688,26.7128,26.3659,26.432,5041714
2014-03-06,26.4424,26.4842,26.0998,26.2168,4107706
2014-03-07,26.175,26.6096,26.0664,26.6096,5294117
2014-03-10,26.5762,26.6597,26.4257,26.5177,4545103
2014-03-11,26.5427,26.6179,26.2837,26.4592,3275792
2014-03-12,26.4341,26.9021,26.4257,26.9021,4576013
2014-03-13,26.8937,27.1612,26.8018,27.0525,6479022
2014-03-14,26.9857,27.4996,26.9439,27.3868,5512811
2014-03-17,27.4202,27.4453,27.2113,27.3785,3326252
2014-03-18,27.3617,27.4871,27.2698,27.4119,3094261
2014-03-19,27.4119,27.4537,26.7851,26.9188,3701150
2014-03-20,26.9021,26.9272,26.5762,26.9188,4820666
2014-03-21,27.0692,27.4244,26.9773,27.111,7408659
2014-03-24,27.1528,27.3283,27.0275,27.0525,4237718
2014-03-25,27.0776,27.1821,26.8269,27.0525,4544425
2014-03-26,27.0943,27.3116,26.9982,27.086,4619333
2014-03-27,27.0442,27.4746,26.9607,27.4202,7333216
2014-03-28,27.3701,27.579,27.2782,27.5623,2992229
2014-03-31,27.5874,27.7796,27.345,27.696,5860835
2014-04-01,27.7796,27.7796,27.3367,27.3868,5950513
2014-04-02,27.4035,27.4035,27.086,27.0943,5216065
2014-04-03,27.1612,27.2531,27.0107,27.1361,3422940
2014-04-04,27.0358,27.5957,27.0107,27.3367,4423955
2014-04-07,27.3701,27.8298,27.3032,27.4119,4319758
2014-04-08,27.345,27.8298,27.1862,27.8214,5328958
2014-04-09,27.8381,27.8715,27.3701,27.6041,5414165
2014-04-10,27.6626,27.9802,27.5122,27.5957,4595779
2014-04-11,27.579,27.7629,27.228,27.2447,7209730
2014-04-14,27.345,27.4871,27.2197,27.3701,5754918
2014-04-15,27.4453,27.8632,27.4202,27.7545,6118242
2014-04-16,27.8548,27.93,27.6877,27.93,3152153
2014-04-17,27.8548,28.0278,27.6125,27.696,4032422
2014-04-21,27.788,27.8548,27.4035,27.5289,6312142
2014-04-22,27.4955,27.5874,27.3868,27.5289,5623084
2014-04-23,27.579,28.0489,27.5289,27.671,8970846
2014-04-24,27.8214,28.0554,27.6877,27.905,4423339
2014-04-25,27.9384,28.164,27.8966,28.0387,4409552
2014-04-28,28.0387,28.2978,27.9384,28.1055,5100182
2014-04-29,28.0972,28.2476,27.8423,27.9551,4397173
2014-04-30,27.9468,28.3646,27.7629,27.8632,10413385
2014-05-01,28.0387,28.7323,27.8298,28.5903,7339905
2014-05-02,28.373,28.7741,28.164,28.2476,6546083
2014-05-05,28.256,28.7323,28.2142,28.7156,4760960
2014-05-06,28.5736,28.7825,28.4148,28.5819,5650102
2014-05-07,28.6237,28.9413,28.5067,28.8326,6865988
2014-05-08,28.8828,28.8828,28.4148,28.4733,3402827
2014-05-09,28.5401,28.5903,28.047,28.1055,4107414
2014-05-12,28.2058,28.2058,27.583,27.671,4021384
2014-05-13,27.7211,27.9133,27.6626,27.905,4329014
2014-05-14,27.9384,28.1223,27.7963,28.0387,3672793
