date,open,high,low,close,volume
2014-01-02,116.8335,117.5392,116.4716,117.1592,777690
2014-01-03,117.1592,117.6116,117.0326,117.3221,737579
2014-01-06,117.6116,117.7473,116.9059,117.1502,1160085
2014-01-07,117.2225,118.1273,116.9059,117.8287,1183602
2014-01-08,117.6478,118.5163,117.0507,118.4529,1262549
2014-01-09,118.5163,118.7153,118.0911,118.5163,1664971
2014-01-10,118.5163,119.9186,118.4891,119.8643,1311543
2014-01-13,119.0772,120.19,118.2087,118.3353,1246047
2014-01-14,118.5253,119.5114,118.0187,119.2943,709578
2014-01-15,119.3938,120.6152,119.0772,120.2533,924683
2014-01-16,119.7105,120.2443,119.5386,119.9367,865559
2014-01-17,119.6472,120.6513,119.6472,119.819,1230047
2014-01-21,120.6966,121.4385,119.62,120.5157,771569
2014-01-22,120.7871,120.8549,120.0724,120.5157,717774
2014-01-23,119.3215,120.4976,118.5525,118.7696,1601985
2014-01-24,118.0458,118.0458,114.8522,114.8703,2071523
2014-01-27,115.0603,115.3589,113.6671,113.7575,2671588
2014-01-28,113.9475,114.5265,113.4952,113.7213,1915220
2014-01-29,114.4451,117.1411,113.088,115.196,2654807
2014-01-30,114.7979,115.1327,113.3142,113.5314,1806796
2014-01-31,112.12,113.6852,111.8305,112.8347,1799084
2014-02-03,112.9704,113.7937,109.7135,109.9306,2278389
2014-02-04,111.1158,111.6043,110.3377,110.7177,1354146
2014-02-05,109.8583,111.2515,109.6683,111.0163,1384559
2014-02-06,111.0163,112.4728,110.6309,112.4367,1342427
2014-02-07,113.1695,115.0513,112.6447,114.9517,1695079
2014-02-10,114.9427,115.8745,114.2823,115.5127,1097660
2014-02-11,115.5217,116.4264,115.0784,116.1912,1227480
2014-02-12,116.3993,116.8878,115.7026,115.8745,1013519
2014-02-13,115.3498,117.4216,115.196,117.0778,994265
2014-02-14,117.0235,118.0639,116.7521,117.4397,1248674
2014-02-18,117.7925,117.9373,117.114,117.3583,1356260
2014-02-19,117.3673,117.6749,115.7841,115.9379,1244933
2014-02-20,116.0736,116.3178,115.1417,115.8655,1101851
2014-02-21,116.0374,116.5893,115.585,115.8655,1415305
2014-02-24,115.6303,116.0917,115.0151,115.0332,1602545
2014-02-25,115.4855,116.9421,115.0784,116.5259,1006969
2014-02-26,116.5259,117.6116,116.3359,116.5531,1222777
2014-02-27,116.1098,117.6116,116.0012,117.4759,965532
2014-02-28,117.5754,118.6484,117.4306,117.9463,1292871
2014-03-03,117.3492,118.2539,116.8064,117.8739,936650
2014-03-04,119.4662,119.4662,118.1634,118.5163,1462719
2014-03-05,118.9709,118.9891,117.7798,117.7889,1045742
2014-03-06,118.1981,119.0891,117.7071,118.9527,901174
2014-03-07,119.18,119.3619,118.7572,119.1709,761166
2014-03-10,119.0073,119.6983,118.7345,119.6346,790600
2014-03-11,119.5892,120.162,119.3619,119.6437,1297931
2014-03-12,119.371,122.9624,118.7982,120.0892,1652238
2014-03-13,120.2711,120.6348,119.7437,120.062,1657601
2014-03-14,119.5437,120.6984,119.4982,119.7892,1426050
2014-03-17,120.1438,121.4712,119.8619,120.3984,983881
2014-03-18,120.6257,120.8893,119.8438,120.7802,1168300
2014-03-19,121.1076,122.5714,120.0551,120.6166,1629803
2014-03-20,120.1893,120.653,120.0347,120.4802,952348
2014-03-21,121.4349,121.844,120.2256,120.853,2424845
2014-03-24,121.3349,121.6304,119.5528,119.7892,872061
2014-03-25,120.362,120.5257,118.78,119.4255,1110733
2014-03-26,119.5983,119.8165,117.8617,117.8889,1269094
2014-03-27,117.9071,118.0981,116.9706,117.107,1230728
2014-03-28,117.5798,117.9708,116.8797,117.598,1243580
2014-03-31,118.3526,119.2255,118.0344,119.08,1207961
2014-04-01,120.5257,120.6529,118.5618,119.1618,905034
2014-04-02,119.0891,120.062,118.8072,119.6619,974173
2014-04-03,120.0801,120.6439,119.3164,119.3164,959918
2014-04-04,120.062,120.2438,117.6434,117.7071,851826
2014-04-07,117.7253,118.0344,115.9341,115.9887,1107967
2014-04-08,115.925,117.2707,115.7159,116.5706,1648843
2014-04-09,116.1614,118.6527,116.1614,118.4799,1259099
2014-04-10,118.5345,119.1255,116.4706,116.5069,1250834
2014-04-11,116.0978,117.2343,115.425,115.4704,1474518
2014-04-14,116.5524,116.5888,114.9894,115.7068,1222153
2014-04-15,115.9341,117.5434,115.7342,117.4616,1610416
2014-04-16,118.3435,119.7256,117.9889,119.6074,941160
2014-04-17,119.6164,120.2893,119.1891,119.8892,876508
2014-04-21,120.162,120.9894,119.7301,120.8257,1208222
2014-04-22,121.0166,121.1439,119.8347,119.9892,1532102
2014-04-23,116.0069,119.9892,116.0069,119.7437,1286248
2014-04-24,120.1074,120.1165,118.6436,118.7891,1227759
2014-04-25,118.4617,118.7709,117.3343,117.6162,888546
2014-04-28,117.9799,118.5045,117.0797,117.6525,1217381
2014-04-29,117.6616,118.2981,116.7706,116.7979,1014132
2014-04-30,117.2798,118.8436,116.7342,118.6981,1859967
2014-05-01,118.9527,119.0345,117.798,118.4617,902453
2014-05-02,118.2617,119.2164,118.2163,119.1073,787554
2014-05-05,118.68,118.9845,118.1644,118.7891,806079
2014-05-06,118.4254,119.3891,118.2908,118.589,847077
2014-05-07,118.9163,119.18,118.1344,118.1981,1590272
2014-05-08,118.7345,119.08,117.7889,118.3526,989507
2014-05-09,118.3617,118.6436,117.6344,118.289,652850
2014-05-12,118.8254,119.371,118.2844,119.1709,587482
2014-05-13,119.1527,119.4892,118.689,119.1073,630654
2014-05-14,119.1164,119.771,118.5072,119.4982,561348
2014-05-15,119.1255,119.371,117.8798,118.5254,788057
