date,open,high,low,close,volume
2014-01-02,8.9923,9.1109,8.965,9.0197,12170235
2014-01-03,9.047,9.0835,8.965,9.0014,6675157
2014-01-06,9.1474,9.2887,9.1337,9.1838,26432970
2014-01-07,9.2933,9.3206,9.1428,9.2112,21812844
2014-01-08,9.2203,9.3845,9.2021,9.348,18254277
2014-01-09,9.3662,9.535,9.3662,9.5304,33898069
2014-01-10,9.4757,9.5851,9.421,9.5578,20615563
2014-01-13,9.5395,9.5851,9.3571,9.4027,16696674
2014-01-14,9.503,9.5669,9.3845,9.4574,17882885
2014-01-15,9.5122,9.7458,9.5122,9.6946,22993575
2014-01-16,9.6216,9.6398,9.4939,9.5578,13848317
2014-01-17,9.576,9.7402,9.5714,9.6398,23296388
2014-01-21,9.6763,9.9499,9.576,9.9043,39727612
2014-01-22,9.9226,10.105,9.8815,10.0502,20303165
2014-01-23,9.9773,9.9864,9.8131,9.959,24656079
2014-01-24,9.8861,9.9226,9.5942,9.6216,22222897
2014-01-27,9.6672,9.6763,9.4118,9.4939,16709095
2014-01-28,9.6216,9.6535,9.4574,9.6034,13402679
2014-01-29,9.5486,9.576,9.3298,9.4027,18508695
2014-01-30,9.5122,9.5304,9.389,9.5122,8568165
2014-01-31,9.3845,9.4027,9.2568,9.275,15592389
2014-02-03,9.2933,9.2933,8.9285,8.9558,18259231
2014-02-04,9.0379,9.2477,8.9422,9.0926,15435894
2014-02-05,9.0562,9.1018,8.965,9.0288,14990131
2014-02-06,9.047,9.3754,9.0106,9.3662,17493314
2014-02-07,9.4027,9.4666,9.2203,9.3298,17637104
2014-02-10,9.3389,9.3936,9.2294,9.3024,10865431
2014-02-11,9.2933,9.421,9.2203,9.3936,12211028
2014-02-12,9.3936,9.5122,9.3206,9.348,9325426
2014-02-13,9.2614,9.4027,9.2386,9.3936,8496437
2014-02-14,9.4073,9.503,9.3754,9.4392,7574732
2014-02-18,9.4392,9.503,9.421,9.4574,6282536
2014-02-19,9.4392,9.4529,9.1838,9.2112,13759977
2014-02-20,9.2112,9.3571,9.1474,9.3206,13316172
2014-02-21,9.3206,9.4574,9.2933,9.3389,10905002
2014-02-24,9.3845,9.5669,9.3662,9.5213,12909026
2014-02-25,9.5395,9.5942,9.4666,9.5304,13184165
2014-02-26,9.5578,9.6034,9.4757,9.5942,10872859
2014-02-27,9.5851,9.6581,9.5122,9.6398,7873475
2014-02-28,9.649,9.8177,9.6125,9.7037,13619819
2014-03-03,9.6307,9.6672,9.5395,9.6034,11663885
2014-03-04,9.731,9.8678,9.6946,9.8314,12989953
2014-03-05,9.8131,9.9226,9.7584,9.7858,15980061
2014-03-06,9.8314,9.9499,9.804,9.877,15090583
2014-03-07,10.0138,10.1323,9.9955,10.0776,19681019
2014-03-10,10.032,10.0867,9.877,9.9408,14406108
2014-03-11,9.9499,10.0046,9.804,9.8496,14468447
2014-03-12,9.8222,9.8496,9.6758,9.8313,10293269
2014-03-13,9.8679,9.9685,9.7399,9.7582,14290080
2014-03-14,9.7399,9.8679,9.6941,9.7216,10705215
2014-03-17,9.7673,9.9319,9.7673,9.877,13999196
2014-03-18,9.8953,9.9594,9.8222,9.8862,9476429
2014-03-19,9.8953,10.2246,9.8679,10.1423,21808587
2014-03-20,10.0966,10.3983,10.0874,10.3343,21195204
2014-03-21,10.5172,10.5538,10.1331,10.1423,50567864
2014-03-24,10.1971,10.3526,10.0874,10.124,19259381
2014-03-25,10.1788,10.1971,10.0508,10.1606,11775017
2014-03-26,10.2154,10.2794,10.0325,10.06,13648036
2014-03-27,10.0051,10.0462,9.8039,9.8679,18555030
2014-03-28,9.8953,10.124,9.8496,10.0142,13414330
2014-03-31,10.0782,10.1697,10.0508,10.1606,10591094
2014-04-01,10.1697,10.316,10.124,10.2886,14529864
2014-04-02,10.316,10.316,10.06,10.1423,20477084
2014-04-03,10.1377,10.1788,9.9776,10.1331,12892086
2014-04-04,10.1788,10.2886,10.0051,10.0325,15491511
2014-04-07,10.0234,10.0325,9.7033,9.8222,15554705
2014-04-08,9.813,9.9045,9.6576,9.749,12826947
2014-04-09,9.7582,9.8588,9.7216,9.7764,12992195
2014-04-10,9.8039,9.8542,9.4106,9.4106,23123011
2014-04-11,9.2369,9.4198,9.1088,9.3009,21157923
2014-04-14,9.4746,9.5295,9.1454,9.31,14060651
2014-04-15,9.3283,9.4015,9.1866,9.3923,13133731
2014-04-16,9.4381,9.4838,9.3375,9.4564,10698501
2014-04-17,9.4381,9.5204,9.3283,9.3466,17835278
2014-04-21,9.3649,9.4381,9.3009,9.4015,12494486
2014-04-22,9.5112,9.6393,9.4015,9.5021,19540125
2014-04-23,9.5021,9.621,9.4564,9.5204,11884769
2014-04-24,9.557,9.5752,9.3832,9.4289,11849235
2014-04-25,9.3923,9.4381,9.2369,9.2826,12863528
2014-04-28,9.3283,9.3649,9.1271,9.2094,15474455
2014-04-29,9.2734,9.31,9.182,9.2277,7175997
2014-04-30,9.2003,9.3009,9.1454,9.2734,10612627
2014-05-01,9.3192,9.3923,9.246,9.3375,14076297
2014-05-02,9.3558,9.6027,9.3466,9.3649,11708673
2014-05-05,9.4564,9.4564,9.3009,9.374,12099940
2014-05-06,9.3558,9.4015,9.2277,9.246,10493118
2014-05-07,9.2917,9.3832,9.2003,9.374,13393387
2014-05-08,9.3375,9.4929,9.2826,9.3009,14772441
2014-05-09,9.2643,9.3923,9.1728,9.3832,8666577
2014-05-12,9.4289,9.621,9.3923,9.6118,15253652
2014-05-13,9.6484,9.6576,9.5204,9.5387,13860396
2014-05-14,9.4929,9.5112,9.2734,9.3192,16732435
2014-05-15,9.2917,9.31,9.054,9.182,20328638
2014-05-16,9.1546,9.1911,8.9625,9.0357,14274837
2014-05-19,9.0082,9.182,8.9991,9.1728,8691723
2014-05-20,9.1546,9.1911,9.054,9.1271,12059540
2014-05-21,9.1454,9.3009,9.1454,9.2369,7336035
2014-05-22,9.2369,9.2963,9.1546,9.2277,9021353
2014-05-23,9.2186,9.31,9.182,9.2094,8257384
2014-05-27,9.2643,9.374,9.2186,9.2552,9733557
2014-05-28,9.246,9.3055,9.1911,9.2369,11533184
2014-05-29,9.2277,9.315,9.1637,9.2369,11312029
2014-05-30,9.2368,9.3283,9.2277,9.3192,10480098
2014-06-02,9.31,9.4838,9.2826,9.4564,13729395
2014-06-03,9.4198,9.5935,9.374,9.5478,14303752
2014-06-04,9.5112,9.653,9.4746,9.5935,22393839
2014-06-05,9.6301,9.7216,9.5112,9.6941,16513335
2014-06-06,9.7033,9.7764,9.6576,9.7216,9166046
2014-06-09,9.7307,9.9776,9.7033,9.9228,16686985
2014-06-10,9.9685,9.9685,9.7856,9.9319,10491385
2014-06-11,9.9319,9.9411,9.8125,9.8584,10047446
2014-06-12,9.8676,9.9227,9.7022,9.7482,11706404
2014-06-13,9.7665,9.8676,9.7022,9.84,17700907
2014-06-16,9.8125,9.8309,9.693,9.7298,14502869
2014-06-17,9.7114,9.9595,9.7022,9.8676,14556245
2014-06-18,9.8768,9.9089,9.8033,9.8584,14439799
2014-06-19,9.8676,9.9044,9.7482,9.8217,9665361
2014-06-20,9.886,9.9503,9.7757,9.8952,30387944
2014-06-23,9.9044,9.9135,9.7757,9.84,16961358
2014-06-24,9.8033,9.886,9.7206,9.7206,11715736
2014-06-25,9.7022,9.8446,9.5828,9.8125,14444266
2014-06-26,9.8125,9.8309,9.6655,9.8125,9688433
2014-06-27,9.8125,9.8768,9.7574,9.8033,10064588
2014-06-30,9.7482,9.8492,9.7482,9.7574,8955145
2014-07-01,9.8217,9.9779,9.8125,9.886,9366484
2014-07-02,9.9044,9.9595,9.8217,9.8309,6844459
2014-07-03,9.9227,10.0651,9.9044,9.987,5475067
2014-07-07,9.9503,9.9503,9.8584,9.8952,9995807
2014-07-08,9.8492,9.886,9.6838,9.7114,9205192
2014-07-09,9.739,9.8124,9.7298,9.7665,8271436
2014-07-10,9.6195,9.7574,9.5736,9.693,12190298
2014-07-11,9.6563,9.8217,9.6103,9.7482,10612146
2014-07-14,9.84,9.8676,9.739,9.7574,5882347
2014-07-15,9.8033,9.9135,9.7849,9.8584,10682890
2014-07-16,9.9135,9.9135,9.7482,9.7665,10435143
2014-07-17,9.4542,9.4955,9.3531,9.4174,16231251
2014-07-18,9.4542,9.4955,9.3531,9.4174,16231251
2014-07-21,9.4174,9.4174,9.2888,9.3623,27109115
2014-07-22,9.4817,9.5093,9.1326,9.2796,27348931
2014-07-23,9.2612,9.3715,9.2318,9.2796,15607183
2014-07-24,9.298,9.4817,9.2796,9.4542,15571847
2014-07-25,9.4174,9.5368,9.4174,9.5185,11916282
2014-07-28,9.5093,9.5277,9.3807,9.4082,10140786
2014-07-29,9.3715,9.4358,9.3255,9.3531,10627688
2014-07-30,9.4174,9.5277,9.3715,9.4633,10200539
2014-07-31,9.399,9.4542,9.2888,9.3163,14883219
2014-08-01,9.1969,9.252,9.0315,9.1326,12841290
2014-08-04,9.1969,9.252,9.0315,9.1326,12841290
2014-08-05,9.0683,9.1877,9.0131,9.0499,10880315
2014-08-06,9.0223,9.1831,8.9948,9.0407,12292376
2014-08-07,9.0866,9.0866,8.8661,8.9213,12710518
2014-08-08,8.958,8.9672,8.8753,8.9672,13231293
2014-08-11,9.0223,9.0315,8.9213,8.9305,8278553
2014-08-12,8.9213,9.0131,8.9213,8.9488,6495653
2014-08-13,8.9764,9.1234,8.9763,9.105,17097712
2014-08-14,9.0958,9.1601,9.0591,9.0958,8037036
2014-08-15,9.1234,9.2107,8.9488,8.9856,17638497
2014-08-18,9.0498,9.2061,9.0223,9.1418,9870588
