date,open,high,low,close,volume
2014-01-02,39.8425,39.8514,39.2287,39.3177,1507563
2014-01-03,39.3622,39.549,39.1398,39.3088,1463366
2014-01-06,39.4778,39.4867,38.8818,38.9263,1907241
2014-01-07,39.1754,39.2999,38.9974,39.2109,2136745
2014-01-08,39.2198,39.2643,38.9441,39.1309,1761759
2014-01-09,39.2287,39.291,38.784,38.8996,1637050
2014-01-10,39.1931,39.2643,38.6327,38.7928,2015353
2014-01-13,38.5527,38.6683,38.1903,38.2769,2472153
2014-01-14,38.3303,38.6283,38.2947,38.5171,1794205
2014-01-15,38.6416,38.6772,38.3881,38.4192,1832088
2014-01-16,38.3481,38.4192,38.0278,38.1257,2193205
2014-01-17,38.2146,38.5438,38.1079,38.357,2450796
2014-01-21,38.6149,38.6505,38.0278,38.1702,1949274
2014-01-22,38.2858,38.2947,37.9634,38.0278,1744117
2014-01-23,37.7966,37.8144,37.2806,37.6364,3057500
2014-01-24,37.4052,37.4674,37.0138,37.0405,3041645
2014-01-27,37.0138,37.2184,36.8003,36.9515,2464839
2014-01-28,37.0316,37.165,36.6757,36.8625,2139846
2014-01-29,36.6046,36.8803,36.3466,36.5334,3043570
2014-01-30,36.8003,37.2895,36.7469,37.1739,1863837
2014-01-31,36.7736,37.2184,36.6135,37.165,2745501
2014-02-03,37.1116,37.2362,36.3733,36.4712,3098455
2014-02-04,36.6046,36.8003,36.5423,36.7291,1764610
2014-02-05,36.5868,37.0538,36.5779,36.9159,2167271
2014-02-06,36.9159,37.5831,36.8181,37.423,2090587
2014-02-07,37.6364,38.2502,37.6364,38.1079,2421963
2014-02-10,38.1079,38.1168,37.6898,37.93,2498311
2014-02-11,37.841,38.3125,37.8055,38.1168,1645945
2014-02-12,38.1257,38.3036,38.0723,38.1435,1208826
2014-02-13,38.0012,38.5794,37.9155,38.5438,1134859
2014-02-14,38.4459,38.9441,38.2552,38.8462,1717300
2014-02-18,37.9745,38.6505,36.827,37.1116,6161397
2014-02-19,36.6224,37.076,36.1776,36.6402,4958803
2014-02-20,36.5868,36.8359,36.3288,36.4534,3454656
2014-02-21,36.5423,36.7291,36.3199,36.4623,2672241
2014-02-24,36.5067,36.7469,36.3822,36.5245,3222351
2014-02-25,36.4712,36.6135,36.1153,36.2577,2978411
