date,open,high,low,close,volume
2014-01-02,30.3245,30.522,30.0559,30.2376,6257569
2014-01-03,30.2139,30.3245,29.8348,30.0401,4621525
2014-01-06,30.2139,30.4035,29.973,30.3324,6996308
2014-01-07,30.206,30.8379,30.1507,30.8142,8347660
2014-01-08,30.4351,30.988,30.3561,30.9327,10443500
2014-01-09,31.0907,31.4857,30.6879,31.0038,9484115
2014-01-10,31.0907,31.233,30.8379,31.0828,7248795
2014-01-13,30.9643,31.2724,30.7668,30.8379,9007884
2014-01-14,30.9801,31.1144,30.7589,30.9327,6162554
2014-01-15,31.0354,31.0591,30.7589,30.8932,6001235
2014-01-16,30.8853,31.1223,30.7431,31.0986,7425884
2014-01-17,31.1697,31.1815,30.7826,30.9801,7221257
2014-01-21,31.2013,31.3435,30.9406,31.1618,4329866
2014-01-22,31.2092,31.2645,30.5931,30.7747,5340229
2014-01-23,30.7036,31.146,30.5378,31.0117,5460467
2014-01-24,30.8221,30.9643,30.4351,30.7826,7258287
2014-01-27,30.7826,30.9861,30.3719,30.7115,5884954
2014-01-28,30.7273,31.5567,30.7273,31.4383,5858457
2014-01-29,31.1697,31.6831,31.0354,31.3751,5999134
2014-01-30,31.5094,31.8095,31.4383,31.7147,7431633
2014-01-31,31.5488,32.2993,31.3119,31.9833,8390758
2014-02-03,31.9833,32.1966,31.0354,31.067,6638448
2014-02-04,31.1855,31.5962,31.0749,31.533,7803200
2014-02-05,31.5488,31.9201,31.1935,31.4778,17500183
2014-02-06,31.5409,32.6547,31.3593,32.4414,13618178
2014-02-07,32.6073,32.8127,32.3861,32.7179,11206526
2014-02-10,32.6626,32.7337,32.0781,32.323,6831409
2014-02-11,32.3309,33.0971,32.2519,32.9865,9669380
2014-02-12,32.5046,32.6705,32.0939,32.1413,10777299
2014-02-13,32.0623,32.631,31.849,32.2677,14214661
2014-02-14,32.3546,32.4019,32.0899,32.2519,14024509
2014-02-18,32.4098,32.5046,31.9517,32.0228,8899762
2014-02-19,31.9991,32.2993,31.9122,31.9912,9659492
2014-02-20,32.0702,33.5473,31.9438,33.1761,13324593
2014-02-21,33.2313,33.4091,32.9983,33.2235,9441784
2014-02-24,33.4209,33.4683,32.8527,32.9944,7725398
2014-02-25,32.6152,33.1472,32.5994,32.8127,5155316
2014-02-26,32.8996,32.9312,32.1808,32.5599,7383352
2014-02-27,32.6626,33.3656,32.4967,32.5915,6072625
2014-02-28,32.7179,32.9312,32.4493,32.6231,5219259
2014-03-03,32.5046,32.8996,32.2993,32.8917,6070263
2014-03-04,33.105,33.6974,33.0971,33.6737,7513165
2014-03-05,33.5473,33.7447,33.4367,33.5315,4634268
2014-03-06,33.5078,33.8317,33.4999,33.6895,6858247
2014-03-07,33.8554,33.9186,33.4683,33.7211,5073627
2014-03-10,33.6105,33.6342,33.0931,33.2392,3018983
2014-03-11,32.9944,33.0876,32.7345,32.8601,6594195
2014-03-12,32.7185,32.9259,32.5271,32.8461,3481694
2014-03-13,32.894,33.0375,32.551,32.7025,3715108
2014-03-14,32.7265,33.1492,32.7025,33.0296,3527667
2014-03-17,33.1093,33.1883,32.7903,33.1253,4103110
2014-03-18,33.1572,33.3686,32.9339,33.1731,2365682
2014-03-19,33.1412,33.3845,32.9977,33.213,4778948
2014-03-20,32.6547,32.7664,32.2639,32.5909,6386720
2014-03-21,32.8302,33.0136,32.2958,32.3915,8848741
2014-03-24,32.0006,32.7664,32.0006,32.5111,3087160
2014-03-25,32.6387,32.7265,32.216,32.5271,3710501
2014-03-26,32.6308,32.7823,31.873,31.9049,6152033
2014-03-27,31.9767,32.6547,31.7933,32.4154,4814592
2014-03-28,32.559,32.6946,32.3835,32.6387,3607421
2014-03-31,32.7584,32.8062,32.0644,32.3675,6639658
2014-04-01,31.881,32.7265,31.873,32.7265,6724293
2014-04-02,32.7823,32.8062,32.2878,32.3835,5230011
2014-04-03,32.4712,32.6467,32.2479,32.3835,3588976
2014-04-04,32.5669,32.8461,32.0884,32.1123,4468425
2014-04-07,32.1123,32.3117,31.3546,31.6178,5514904
2014-04-08,31.6497,32.4672,31.6258,32.3755,5628475
2014-04-09,32.551,32.6108,32.2718,32.535,2996532
2014-04-10,32.5111,32.6946,31.9129,32.0964,3630357
2014-04-11,31.8411,32.2,31.8252,32.0166,4768149
2014-04-14,32.1522,32.543,32.0166,32.2399,2222437
2014-04-15,32.2,32.5669,32.0326,32.4633,2948563
2014-04-16,32.7025,32.9897,32.5191,32.9259,2730027
2014-04-17,32.8461,33.4443,32.8222,33.3327,3449549
2014-04-21,33.3247,33.6039,33.2689,33.548,3745658
2014-04-22,33.3885,33.6756,33.2689,33.4762,3416877
2014-04-23,33.5002,33.8352,33.4523,33.5401,2891880
2014-04-24,33.5161,33.572,32.7504,32.9658,5136480
2014-04-25,32.9498,33.1572,32.7744,32.9099,3384597
2014-04-28,33.5241,33.5241,32.8222,33.2609,4861411
2014-04-29,33.4284,33.7554,33.3725,33.6597,4950090
2014-04-30,33.6358,33.7115,33.3725,33.6358,4810826
2014-05-01,33.2928,34.7445,32.6387,34.5132,6677616
2014-05-02,34.5132,34.6806,34.1143,34.1702,3399190
2014-05-05,34.1143,34.7923,33.9149,34.7126,3864261
2014-05-06,34.6727,34.9837,34.573,34.6806,3613544
2014-05-07,34.9439,35.4942,34.8721,35.4224,6576287
2014-05-08,35.231,35.4065,35.0157,35.0795,3408363
2014-05-09,35.0715,35.1592,34.6328,34.8482,4429865
2014-05-12,35.3826,36.236,35.0396,35.1273,3775640
2014-05-13,35.1273,35.5261,35.0077,35.5022,5800791
2014-05-14,35.8851,36.1802,35.5899,36.1243,7061863
2014-05-15,36.0685,36.3078,35.8292,36.252,8860862
2014-05-16,36.2041,36.587,35.9648,36.3716,6974782
2014-05-19,36.3557,36.8103,36.3238,36.6428,4087480
2014-05-20,36.563,37.0177,36.5551,36.9539,5321261
2014-05-21,36.9619,37.3265,36.8661,37.1533,3927327
2014-05-22,37.2171,37.3327,37.1693,37.2251,3879598
2014-05-23,37.3048,37.4245,37.233,37.3846,3503879
2014-05-27,37.4883,37.576,37.1294,37.3686,4312305
2014-05-28,37.3607,37.4245,36.9459,37.257,4035564
2014-05-29,37.3846,37.4763,37.0815,37.3128,3390364
2014-05-30,37.2729,37.4963,37.2649,37.4564,4062718
2014-06-02,37.4484,37.5521,37.241,37.4165,3664015
2014-06-03,37.3926,37.4923,37.2251,37.3447,3403559
2014-06-04,37.3846,37.568,37.2969,37.4085,3004008
2014-06-05,37.4803,37.903,37.4085,37.7914,3178368
2014-06-06,37.8313,38.2431,37.8073,38.0705,3779058
2014-06-09,38.0466,38.2867,37.9589,38.0945,3369781
2014-06-10,37.8552,38.254,37.8153,37.9988,3241338
2014-06-11,37.7935,38.0028,37.4877,37.6487,4318308
2014-06-12,37.8016,37.9062,37.4797,37.705,2594662
2014-06-13,37.6889,37.9827,37.5119,37.9706,1976462
2014-06-16,44.079,48.0306,43.9825,45.085,37459747
2014-06-17,44.5861,47.0407,44.5861,46.1232,18427832
2014-06-18,46.6303,46.8395,45.8979,46.1554,31936320
2014-06-19,46.0508,46.6544,45.4633,46.6222,9691870
2014-06-20,46.6544,46.8717,46.3647,46.4049,7958712
2014-06-23,46.6061,47.427,46.4782,47.3707,7260906
2014-06-24,47.089,47.4834,46.2037,46.2842,8561199
2014-06-25,46.582,46.9884,46.2641,46.6705,7686779
2014-06-26,46.5659,46.7912,46.2842,46.759,4933341
2014-06-27,46.6705,47.2017,46.5981,47.1292,16052060
2014-06-30,46.7751,47.2017,46.751,46.8476,5368148
2014-07-01,47.0327,47.2138,46.6786,47.1212,4287044
2014-07-02,47.1614,47.25,46.6665,46.9602,4048635
2014-07-03,47.1131,47.1131,46.4532,46.7671,2543325
2014-07-07,46.413,46.9924,46.3083,46.4371,4355009
2014-07-08,46.582,46.59,46.2198,46.3888,7853988
2014-07-09,46.6464,46.9361,46.3808,46.5659,6394984
2014-07-10,46.3164,46.7067,46.1554,46.5337,4827418
2014-07-11,46.5498,46.8637,46.2681,46.8476,2722596
2014-07-14,46.7188,47.25,46.6383,46.9441,2925073
2014-07-15,46.8556,46.9602,46.252,46.5739,4330216
2014-07-16,46.8073,47.0488,46.4774,46.9924,3671819
2014-07-17,46.8315,47.3465,46.2842,46.3566,3643224
2014-07-18,46.5417,47.0246,46.4049,46.8556,4498026
2014-07-21,46.8073,46.9683,46.3969,46.7349,3973423
2014-07-22,46.8959,47.3546,46.8959,47.0407,3115904
2014-07-23,46.9522,47.3626,46.7188,47.2097,3144075
2014-07-24,47.1856,47.3707,46.6947,47.1373,4513761
2014-07-25,47.0166,47.1695,46.7832,46.8395,3298742
2014-07-28,46.7751,46.9119,46.1876,46.6544,3542790
2014-07-29,46.5417,46.9763,46.4371,46.7349,3580815
2014-07-30,46.8556,47.1775,45.5116,45.6243,5431981
2014-07-31,44.8356,46.8959,44.6826,45.576,13268353
2014-08-01,44.5217,45.4231,44.232,45.2058,4466365
2014-08-04,44.5217,45.4231,44.232,45.2058,4476060
2014-08-05,44.8034,45.0529,43.9865,44.2722,5681426
2014-08-06,44.1917,44.8114,43.9583,44.409,5997946
2014-08-07,44.3366,44.5378,43.6847,43.7571,4751196
2014-08-08,44.0066,45.3265,43.902,45.2702,5301655
2014-08-11,45.5277,46.1796,45.5116,45.6243,6668270
2014-08-12,45.5035,45.9784,45.1575,45.8818,4704879
2014-08-13,45.753,46.5498,45.5599,45.7128,6225138
2014-08-14,45.8094,46.0911,45.5196,45.6967,5325283
2014-08-15,45.9059,46.6142,45.9059,46.5095,5147987
2014-08-18,46.5498,46.9361,46.2842,46.7671,3589537
2014-08-19,46.8073,47.2017,46.6303,47.1695,3735493
2014-08-20,47.1453,47.3224,46.8556,47.2017,3297079
2014-08-21,47.1051,47.2258,46.7268,46.9361,3692644
2014-08-22,46.9844,47.1856,46.6061,47.089,3345431
2014-08-25,47.25,47.3465,46.8556,46.9361,3290340
