date,open,high,low,close,volume
2014-01-02,26.786,26.9567,26.6042,26.6921,2749463
2014-01-03,26.6153,26.9653,26.6153,26.7519,1945874
2014-01-06,26.8116,26.8287,26.2909,26.4787,3340883
2014-01-07,26.4531,26.7007,26.0263,26.5556,4501212
2014-01-08,26.4617,26.4958,26.0965,26.308,4596574
2014-01-09,26.4446,26.5043,26.18,26.4617,2776039
2014-01-10,26.5556,26.7348,26.4446,26.5129,2137604
2014-01-13,26.3848,26.4958,26.0178,26.1031,2062719
2014-01-14,26.197,26.5299,26.1373,26.4104,2140825
2014-01-15,26.4531,26.6409,26.3251,26.5043,2083279
2014-01-16,26.4702,26.7177,26.4617,26.6068,2552640
2014-01-17,26.658,26.6751,26.3763,26.436,2515728
2014-01-21,26.4958,26.658,26.3763,26.5897,2417125
2014-01-22,26.6068,26.769,26.5129,26.5556,2194241
2014-01-23,26.3763,26.5129,26.0605,26.0861,4262858
2014-01-24,25.958,26.133,25.7446,25.7702,4907382
2014-01-27,25.7958,26.1877,25.702,25.8897,4263590
2014-01-28,26.0007,26.5043,25.9922,26.2312,3821639
2014-01-29,26.0519,26.3251,25.9495,26.069,2868542
2014-01-30,26.2483,26.3678,26.1031,26.2653,2776920
2014-01-31,25.5483,25.8385,25.3178,25.5056,6995696
2014-02-03,25.5056,25.7105,24.9166,25.0874,4851591
2014-02-04,25.13,25.3093,24.9422,25.1044,3551102
2014-02-05,25.0276,25.0361,24.6179,24.8142,5450690
2014-02-06,24.8569,25.2752,24.8057,25.1898,2923506
2014-02-07,25.3008,25.5227,25.0532,25.5056,3383087
2014-02-10,25.4715,25.6337,25.2666,25.6166,2944207
2014-02-11,25.5824,25.8129,25.4715,25.7702,2543838
2014-02-12,25.8044,25.8727,25.6166,25.8471,2673286
2014-02-13,25.702,25.9922,25.6763,25.941,2301804
2014-02-14,25.8812,26.0605,25.8385,25.9922,2175070
2014-02-18,25.9836,26.0775,25.8641,26.0434,2122682
2014-02-19,25.9495,26.1117,25.8215,25.9068,3485104
2014-02-20,25.9068,26.1202,25.8565,25.9922,2719475
2014-02-21,25.9666,25.9751,25.719,25.7617,2989518
