date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT
2013-02-08,102.66,34.41,36.25,73.31,13.41,70.09,39.12,2.59,78.9,11.07,50.6,146.45,50.35,45.08,88.35,35.42,24.335,62.66,72.62,93.66,32.73,,87.45,154.08,23.19,45.14,393.0777,,34.69,261.95,32.61,14.75,44.57,61.8,38.79,77.06,39.18,66.49,46.89,41.46,86.77,35.22,84.45,45.7,53.86,74.69,66.28,56.53,17.4875,84.65,28.57,67.8542,13.61,,30.22,26.82,37.97,38.56,35.27,38.89,60.925,385.89,128.84,39.25,,22.68,11.76,27.9,69.0,30.65
2013-02-11,102.62,34.26,35.85,73.07,13.57,70.25,38.64,2.67,78.39,11.2,50.38,145.57,50.26,44.6,88.42,35.31,24.4,62.76,72.73,92.3,33.03,,86.66,153.42,23.255,45.25,391.6012,,34.75,257.21,32.84,14.46,44.73,61.98,39.45,76.38,39.04,66.49,46.76,41.51,84.92,35.205,83.47,46.08,54.55,74.71,66.01,56.66,17.4775,83.81,28.92,68.5614,13.66,,30.28,26.61,37.88,38.48,35.23,38.89,60.34,385.23,129.78,39.21,,22.57,11.86,27.93,68.73,30.63
2013-02-12,103.46,34.3,35.42,73.37,13.51,70.01,38.89,2.77,78.6,11.31,50.15,145.75,49.5,44.62,88.83,36.74,24.43,62.7,72.79,90.21,33.02,,85.78,152.32,23.32,45.61,390.7403,,34.66,258.7,33.15,14.27,44.9,62.2,38.63,75.59,39.22,67.49,46.96,41.82,84.54,35.2,83.45,46.27,53.49,75.74,66.01,56.7,17.6325,84.18,29.16,66.8428,13.66,,30.81,27.09,37.82,41.05,35.6,38.91,60.36,382.09,130.83,39.43,,22.445,12.245,27.9,68.68,30.6
2013-02-13,102.86,34.46,35.27,73.56,13.73,71.14,38.81,2.75,78.97,11.34,49.51,146.47,48.65,44.75,88.78,37.31,24.76,66.15,72.36,92.01,32.75,,86.73,152.32,23.305,45.88,391.8214,,34.78,269.47,33.28,14.66,44.93,62.1,38.87,74.0,39.41,67.89,46.64,42.0,84.94,35.055,84.13,46.26,54.07,75.89,63.0,57.28,17.7625,84.33,28.9,66.7156,13.77,,31.16,27.3,38.54,41.39,35.42,38.66,60.45,379.73,130.23,39.61,,22.6,12.17,28.17,68.15,30.52
2013-02-14,102.78,34.7,36.57,73.13,14.0,71.42,38.61,2.75,78.84,11.21,49.56,147.34,48.83,44.58,88.69,37.87,24.355,65.41,71.56,87.63,32.56,,86.49,152.37,23.5,45.88,394.3039,,34.11,269.24,33.14,13.99,44.77,62.34,39.21,73.48,39.15,69.04,46.77,41.91,84.72,35.05,84.0,46.54,55.18,75.51,63.29,57.3,17.8525,80.33,28.97,66.6556,13.89,,31.4,27.87,38.82,42.01,35.29,38.67,60.74,373.61,130.05,39.69,,22.605,12.13,28.1,68.17,30.36
2013-02-15,103.23,35.08,37.58,74.16,14.37,71.61,38.635,2.71,79.0,11.17,49.2,146.51,49.34,42.25,88.23,38.49,24.49,65.42,71.62,86.01,32.73,,85.24,155.41,23.47,45.85,396.8414,,34.38,265.09,33.13,14.5,45.13,61.69,38.35,75.18,39.17,68.77,46.6,41.91,83.61,35.21,82.08,46.175,54.64,75.62,62.7,57.0,17.9925,76.85,29.12,65.7371,13.74,,32.57,27.96,38.87,41.84,35.36,39.0,61.22,373.7,130.26,39.73,,22.77,12.03,27.99,68.17,30.27
2013-02-19,104.18,34.82,38.19,75.4,14.63,72.93,38.995,2.82,80.72,11.37,48.71,148.62,49.53,43.01,88.7,38.58,25.15,65.84,71.92,83.39,32.6,,84.81,154.94,24.01,46.74,403.8284,,34.77,269.75,33.24,14.26,45.56,62.28,38.6,74.62,39.75,69.03,47.22,42.43,84.131,35.445,84.13,47.01,55.13,76.28,62.77,57.91,18.1,77.3,29.58,65.7128,13.89,,33.08,27.18,38.85,42.21,35.67,38.98,61.46,375.21,130.42,40.07,,22.545,12.19,28.24,68.32,30.37
2013-02-20,103.15,34.52,38.61,75.0,14.24,72.79,38.77,2.7,79.5,11.37,48.24,145.42,49.82,42.24,87.61,37.4,24.625,64.06,71.86,84.46,31.73,,83.1,152.77,23.78,46.41,396.6262,,34.89,266.41,33.46,13.33,45.57,61.91,37.57,73.95,39.53,67.95,46.61,41.7,84.65,34.745,80.37,45.79,52.02,76.09,62.58,59.02,17.5925,75.48,29.7,64.1214,13.59,,32.5,26.28,38.66,41.29,35.47,38.73,61.21,379.96,129.69,39.64,,22.265,11.8,27.86,67.54,30.0
2013-02-21,102.72,34.26,38.78,73.85,14.28,71.5,38.34,2.6,79.06,11.06,47.76,143.13,49.58,41.63,85.67,37.07,24.82,64.13,71.43,87.28,31.41,,83.75,152.05,23.79,46.47,398.1628,,35.2,265.94,33.18,13.37,45.36,61.54,37.28,73.78,39.45,67.25,46.48,41.49,85.13,34.64,80.21,45.12,53.28,75.69,62.71,59.42,17.365,75.11,29.58,63.7228,13.25,,32.11,25.98,38.45,41.01,35.43,37.97,60.27,377.56,127.7,39.31,,22.03,11.42,27.32,66.42,30.04
2013-02-22,103.54,34.55,38.46,74.8,14.51,72.13,38.55,2.61,79.21,11.23,47.58,146.37,50.07,41.8,86.09,36.27,25.4,65.0,72.12,87.44,31.88,,83.44,154.02,23.99,46.74,400.2549,,35.32,265.42,33.58,13.57,46.18,62.57,38.45,74.52,39.82,67.93,46.95,42.24,86.82,35.4,81.75,45.52,54.6,76.38,61.92,60.79,17.6575,75.4,29.83,64.4014,13.57,,32.1,25.92,38.73,41.64,35.68,37.91,61.01,385.2,128.83,39.6,,22.17,11.44,27.63,67.0,30.58
